wordform	frequency	dispersion
those	211	0.3282473818071358
're	391	0.3301792421877973
sitting	58	0.6457979381856636
reminiscing	1	0.9936702199636152
company	20	0.8081086837766183
over	289	0.303556746178798
guess	245	0.3952665392057803
was	4352	0.15435479920061873
four	108	0.4772368480401739
hum	23	0.8329431832023426
my	2126	0.21861208197717405
mom	205	0.5312857717893233
took	142	0.4730727586943681
me	1139	0.2590494326640766
it	3594	0.1521489656645429
doctor	24	0.8701317576541222
visit	40	0.7304038680318543
physical	5	0.9613597750747996
got	574	0.24113623254550237
tests	3	0.9706915648038169
done	82	0.535323455879234
he	2064	0.340962637584341
dia	1	0.9936702199636152
diagnosed	7	0.9444603148351399
having	65	0.4588030744095155
acute	1	0.9936702199636152
leukemia	3	0.9936702199636152
raleigh	7	0.9766204086542074
momma	6	0.9625575719304575
trips	7	0.8977362140598296
forth	28	0.7717962513898523
chapel	3	0.9772368480401736
hill	46	0.8084794299036073
went	411	0.3618765145080919
through	179	0.3903626700188517
couple	70	0.5864278089338604
treatments	5	0.9819829301418814
(	107	0.648869362297413
)	106	0.6480758514527649
different	152	0.4756731309713442
shots	1	0.9936702199636152
each	81	0.505780627394596
uh-huh	254	0.6364679242566825
little	511	0.27726576193376307
telling	72	0.6594032482513333
on	1194	0.16001418588786726
way	246	0.294597213762428
let	164	0.3269422821801102
think	592	0.2860296698195692
wing	8	0.963514807074519
hospital	41	0.7602218252791
where	329	0.23446600395510137
six	75	0.5221309758285598
other	307	0.3294748122860365
children	151	0.5969646409133538
whole	144	0.4054082950355748
same	105	0.4626855135312384
see	285	0.2999687428039209
turned	26	0.7184024697669058
out	786	0.22555231350700072
after	177	0.38048784589983714
only	156	0.37338676193527276
survivor	1	0.9936702199636152
day	224	0.3244989774337365
every	155	0.38630592756667465
then	611	0.26940960333868946
story	359	0.46555397661338666
so	1718	0.17672498695396707
does	145	0.48661227414288233
primarily	3	0.9726260819012391
who	331	0.3712543562632646
would	1138	0.2722070181501222
dad	253	0.5716011709476013
both	98	0.46735668602513414
actually	165	0.45289095492520487
sister	115	0.5355349087946442
wrote	22	0.8033758826860719
room	77	0.5447819359503141
hear	55	0.5543550554180375
much	263	0.32560422121776017
these	165	0.4402414182570849
days	60	0.5382352793773462
afternoon	28	0.7706285247481438
playing	51	0.7490829321760428
sidewalk	4	0.9598362175680211
kitchen	19	0.8165265895866848
doing	121	0.389687275159398
something	279	0.3188563575518729
pretending	5	0.906987816551648
act	11	0.8997559300967759
salesman	2	0.9772368480401736
front	63	0.6136390376290543
door	69	0.5726904931711196
rang	2	0.9868693399086867
doorbell	2	0.9830153408208164
came	233	0.3659199810957725
she	1917	0.4026738114247943
saw	69	0.5913423060236956
glow	2	0.9936702199636152
light	22	0.7999278314865207
lord	32	0.7886895588699614
definitely	54	0.6769451112792813
cured	1	0.9936702199636152
call	90	0.5023959278248042
fine	43	0.7223150941168557
knew	126	0.4669709724587867
miracle	3	0.9619611793537912
say	255	0.3023672038916753
whoever	9	0.8542296261771235
part	112	0.5236664665565522
last	69	0.5743225649282376
they	1799	0.25593949754834294
from	560	0.23000805989127468
beginning	14	0.8049595806207493
end	70	0.4942151351978299
said	669	0.48351742125036856
'm	548	0.39736881421037845
sure	111	0.5276624973366866
parts	19	0.7441325495030895
pretty	155	0.40683421595877994
old	201	0.3418895060264225
enough	59	0.5159856740064322
at	846	0.1837822165821021
going	566	0.258117085018961
yeah	474	0.4133599105810803
exactly	33	0.6966967869976395
waiting	13	0.7856895851813985
anybody	41	0.6390606211846124
goes	67	0.6646482970572104
very	410	0.3994999054499573
interesting	66	0.6276382626159351
experience	44	0.6819288948786323
ever	155	0.3487912986500899
yourself	21	0.7739292676972157
obviously	24	0.7757069006129309
several	30	0.7112252108673752
co-workers	2	0.9425608796539919
ca	135	0.4204594394578006
believe	60	0.5586361654463172
never	262	0.32149337787703763
known	17	0.7793347466333886
unless	8	0.8822951591967242
share	20	0.6786664361283594
them	567	0.28914441146001846
helped	32	0.758009953240817
reason	39	0.6472478622198216
earth	8	0.954363438629199
yet	40	0.5608180100534751
um-huh	25	0.930592934502062
far	66	0.514023426519104
being	177	0.3672203408518211
an	282	0.2740957582764265
ordinary	1	0.9936702199636152
talk	119	0.39637578956948505
regular	4	0.9713631329153571
basis	7	0.8793482782296661
once	64	0.5832728796740391
while	90	0.5060434447768875
related	10	0.9106764294627953
else	115	0.4779765535133234
enjoy	42	0.8288553773060091
reading	163	0.7140371233086926
looking	70	0.49822657333445025
experienced	7	0.9173570286619255
type	56	0.6861717646418672
survived	3	0.9563580961545206
diseases	1	0.9936702199636152
life	171	0.41612902970541465
threatening	1	0.9936702199636152
try	52	0.5558694937293964
find	70	0.5655933032201619
experiences	23	0.8006227149088775
guideposts	2	0.9936702199636152
another	120	0.374381681225662
reader	8	0.9178231169781439
digest	2	0.9936702199636152
cancer	15	0.8997709652037508
interested	18	0.8057915232066875
relate	4	0.9576511153543523
guide	4	0.9884680729503391
thank	59	0.5554783130474065
sharing	10	0.9043717079380351
welcome	17	0.7935078408082875
woman	44	0.7319148165511924
voice	24	0.8435947938436249
tape	28	0.6571877476765389
1	12	0.8121313266477221
side	78	0.5098720897912011
@	1	0.9947978529867241
5	13	0.8724822460445139
:	90	0.6155509782007654
20	37	0.7506728210371217
minutes	53	0.6089391370359223
please	20	0.7742045175484757
name	152	0.43539493665076384
stephanie	5	0.9698295520039292
south	30	0.7404038429733427
age	60	0.6383545578926793
18	8	0.9131371753043354
year	159	0.46396808245366145
a--	5	0.9649932592603729
finishing	6	0.8928397808883741
freshman	5	0.9710273488595871
college	63	0.7057569901911436
be	596	0.21772770627468835
kind	383	0.39768229573233665
hard	64	0.6249431485017516
know--	7	0.9312645026136029
wha	4	0.9837370259556063
compared	7	0.9350683846782237
high	146	0.5016064222287807
why	172	0.36647484667396046
decide	9	0.9312594909112776
stay	56	0.5484315698584766
wanted	136	0.427713637814886
closer	21	0.8797241559040359
number	36	0.6948495570490427
two	229	0.3070787756660712
friends	103	0.5715327814719215
here	279	0.4175550986823049
which	219	0.38504943289155513
unc	1	0.9947978529867241
because	775	0.20991196379028898
nurse	9	0.946424902146512
still	240	0.35452381310359704
or--	13	0.8875173530192999
anymore	29	0.7000924745487609
just--	7	0.9165351094806373
decided	76	0.6003751654850918
curriculum	1	0.9947978529867241
heard	70	0.5733095349068649
extremely	21	0.8890158520144537
education	26	0.8265199240225927
plan	5	0.9640410358186364
staying	18	0.7840808287350963
yes	125	0.5350399983962553
feel	64	0.6569148336365414
area	86	0.5500360201535702
\	498	0.6668937632021371
'll	197	0.4375680157329801
near	26	0.7764913765951189
take	178	0.35102723285838744
care	60	0.6236028626843677
whenever	21	0.7898965513044387
older	83	0.5305080133195348
teachers	19	0.8950449299113429
happy	37	0.6945840158391465
rather	19	0.8523402144006252
nursing	9	0.916279512662066
heart	25	0.7524754301293521
behind	53	0.6002789154184456
whatever	118	0.4437850516549363
sem	1	0.9947978529867241
differently	4	0.9686568136598959
wish	12	0.8009401953561565
could	449	0.2767417822620272
horrible	14	0.8601033413019399
bad	55	0.6110988248469265
3	4	0.8944234788230517
