item	frequency	dispersion	REF	PRED	MOD
yaqʷ-iɬ-ckʷi·-ʔaːɬ	1	0.8911068611044703	0	0	0
ʔunaḥ	5	2.6792971551518048	0	0	0
qiː	27	13.202008128137699	0	0	0
qiː-sasa	5	2.5663399474061674	0	0	0
qʷiyu	13	6.511714080803252	0	0	0
ʔu-(kʷ)iːɬ	1	0.8911068611044703	0	0	0
ƛ̓icuːɬ	1	0.8911068611044703	0	0	0
ʕaʕaːči	1	0.8911068611044703	0	0	0
siːč̓ak	1	0.8911068611044703	0	0	0
ʔu-č̓akʷ	1	0.8911068611044703	0	0	0
muːɬ	7	3.5981353095864215	0	0	0
ʔaḥku·	6	3.1881424814726276	0	0	0
waː-ʔaːḥ	1	0.8911068611044703	0	0	0
his-taq-iːs	2	1.3911068611044701	0	0	0
hiɬ-yin	11	5.89110686110447	0	0	0
ƛaː-(q)u·p	2	1.3911068611044701	0	0	0
ƛaː-(q)u·ɬ	1	0.8911068611044703	0	0	0
ʔu-taq	5	2.855845087257949	0	0	0
kʷis-caqc̓uː	2	1.2781496533588332	0	0	0
ƛiča·	10	5.39110686110447	0	0	0
cik-paɬa	1	0.8911068611044703	0	0	0
ƛiːḥ-cuːt-ʔaːɬ	2	1.3911068611044701	0	0	0
čačam	2	1.2781496533588332	0	0	0
sipuːs	3	1.8911068611044697	0	0	0
ḥaːʔak	3	1.6445135070523547	0	0	0
čim-caqs	2	1.3911068611044701	0	0	0
ʔu-ca-ḥta·k	2	1.3911068611044701	0	0	0
qac-caqs	3	1.8911068611044697	0	0	0
č̓aḥʷ	8	4.391106861104472	0	0	0
hawiɬ-čaq	14	7.193999521874252	0	0	0
hiɬ-pi·	1	0.8911068611044703	0	0	0
kʷist-ʼitap	2	1.3911068611044701	0	0	0
kimt-y̓ak	1	0.8911068611044703	0	0	0
qacc̓a	4	2.3069567296198894	0	0	0
ʔaƛa	10	4.957685871384174	0	0	0
kʷatyiːk	2	1.3911068611044701	0	0	0
y̓aːq-s	1	0.8911068611044703	0	0	0
kimt	1	0.8911068611044703	0	0	0
t̓i-ʕa·ʔatu	1	0.8911068611044703	0	0	0
kʷist-ʼi·ƛ	1	0.8911068611044703	0	0	0
hiɬ-ʼaḥs	2	1.2781496533588332	0	0	0
his-kʷist-ʼaḥs	2	1.3911068611044701	0	0	0
wik-cuk	6	3.288548888357638	0	0	0
čit	2	1.3911068611044701	0	0	0
ʔapw̓in-qs	2	1.3911068611044701	0	0	0
n̓up-či·ɬ	6	3.1121204876882618	0	0	0
ʔu-sa·ḥi	5	2.742887879512312	0	0	0
mamuːk	11	5.735357398995937	0	0	0
his-a·wuɬ	1	0.8911068611044703	0	0	0
ʔuh-ʔaːɬ	1	0.8911068611044703	0	0	0
ʔuːš-cuk	3	1.7688262012909393	0	0	0
y̓uːqʷaː	42	20.724838632560363	0	0	0
ḥuː	25	12.476810901267033	0	0	0
c̓aːḥ	3	1.7767152761176188	0	0	0
dup-tin-ʕin	1	0.8911068611044703	0	0	0
ʔu-cuk	2	1.3069567296198898	0	0	0
ʔaːʔaːʔiša	5	2.733325364570882	0	0	0
puːkʷ-aɬ	1	0.8911068611044703	0	0	0
wik-ʼaḥs	3	1.8693521396127177	0	0	0
suːt	4	2.3911068611044706	0	0	0
qʷaːƛaː	11	5.767750418360029	0	0	0
qʷit̓a-maḥsa	1	0.8911068611044703	0	0	0
ʔu-ktis	7	3.6124790819985653	0	0	0
ʔuna-ḥ	4	2.145947884293569	0	0	0
q-ʼaḥs	1	0.8911068611044703	0	0	0
čamaqƛ	4	2.3911068611044706	0	0	0
ʔašx̣	2	1.3911068611044701	0	0	0
hup-y̓ak	1	0.8911068611044703	0	0	0
hiɬ	56	27.70224719101124	0	0	0
ʔat̓a	2	1.3911068611044701	0	0	0
hiš-caqs	5	2.891106861104471	0	0	0
ƛ̓uɬ	1	0.8911068611044703	0	0	0
dup-n̓ač-paɬ	1	0.8911068611044703	0	0	0
yaqʷ-(č)iɬ-čim	1	0.8911068611044703	0	0	0
ʔu-č̓ak	1	0.8911068611044703	0	0	0
ʔuʔumḥi·	1	0.8911068611044703	0	0	0
qʷit̓a	1	0.8911068611044703	0	0	0
čuː	72	35.61761893377959	0	0	0
ƛaːm̓aq	2	1.3911068611044701	0	0	0
taː-pi·ɬ	2	1.3911068611044701	0	0	0
čiː-ḥt-ʼas-w̓it̓as	1	0.8911068611044703	0	0	0
dup-ʔu-ʼiːḥ	10	5.095147023667225	0	0	0
yaqʷ-uwa-dupː…ʔaːḥi	1	0.8911068611044703	0	0	0
muː	6	3.254721491752331	0	0	0
ʔac	7	3.4821898159215876	0	0	0
huːʔak-maḥsa	1	0.8911068611044703	0	0	0
waɬ-yaq-pi(ƛ)	2	1.3911068611044701	0	0	0
ʔaya	35	17.318790341859906	0	0	0
quːʔas	81	40.12395409992828	0	0	0
dup-sakʷ-wa·	2	1.3911068611044701	0	0	0
dup-ʔuːq-wa·	1	0.8911068611044703	0	0	0
čiː-ḥt-ʼas	2	1.3911068611044701	0	0	0
ƛuːɬ	4	2.198541716471432	0	0	0
dupː-humt-ʼas	1	0.8911068611044703	0	0	0
ʔuːš-ʔaːɬ	1	0.8911068611044703	0	0	0
his-taq	20	9.778866841979442	0	0	0
saya-čḥʔas	1	0.8911068611044703	0	0	0
qʷis	60	29.57112120487689	0	0	0
hita-csuḥta	1	0.8911068611044703	0	0	0
čiːʔukʷ-ʔis	1	0.8911068611044703	0	0	0
hatk-ma	2	1.3911068611044701	0	0	0
hin-ačišt	1	0.8911068611044703	0	0	0
čiː-ačisth	1	0.8911068611044703	0	0	0
maƛ	1	0.8911068611044703	0	0	0
hin-in	9	4.5770977767152745	0	0	0
ʔuːš-taq	1	0.8911068611044703	0	0	0
ʔaːp	2	1.3571599330623951	0	0	0
hupi·	1	0.8911068611044703	0	0	0
sut-(č)iɬ	13	6.436648338513027	0	0	0
čiːʔuk-ʔis	1	0.8911068611044703	0	0	0
kiːɬ-ʼiƛ	1	0.8911068611044703	0	0	0
wiḥaː-ʼitap	1	0.8911068611044703	0	0	0
haʔuk	28	13.890031078173557	0	0	0
dupː-yaqʷ-uː	1	0.8911068611044703	0	0	0
čaːni-??	1	0.8911068611044703	0	0	0
huːxsʔatu	2	1.2589050920392058	0	0	0
ʔaƛ-či·ɬ	3	1.758905092039206	0	0	0
čamaːs	2	1.3911068611044701	0	0	0
ḥuq-ʼitap	1	0.8911068611044703	0	0	0
ḥuq-ʼas	1	0.8911068611044703	0	0	0
p̓iḥ	1	0.8911068611044703	0	0	0
qewː	1	0.8911068611044703	0	0	0
n̓aːcsa	32	15.729619890031076	0	0	0
qʷi-yu	1	0.8911068611044703	0	0	0
ʔu-kčamaɬča	1	0.8911068611044703	0	0	0
kiḥ-ca·s	1	0.8911068611044703	0	0	0
ʔunw̓iː(ƛ)	1	0.8911068611044703	0	0	0
k̓ic-ca·s	2	1.3911068611044701	0	0	0
yaqʷ-(č)iɬ	21	10.314009084389195	0	0	0
kʷin̓aɬ	1	0.8911068611044703	0	0	0
ƛ̓iːxʷ	1	0.8911068611044703	0	0	0
p̓aːčiːna-ʼatḥ	1	0.8911068611044703	0	0	0
čim-ʼi·(ƛ)	1	0.8911068611044703	0	0	0
č̓aḥ	3	1.8911068611044697	0	0	0
hup	2	1.3911068611044701	0	0	0
ka-ču·-ʔaːɬ	1	0.8911068611044703	0	0	0
wik-sinḥi	1	0.8911068611044703	0	0	0
dup#-cik-mis	1	0.8911068611044703	0	0	0
ḥuq-ʼa·s	1	0.8911068611044703	0	0	0
ʔuːpi	1	0.8911068611044703	0	0	0
yušu-ink	1	0.8911068611044703	0	0	0
qay̓a·xʷas	2	1.3911068611044701	0	0	0
k̓atyiːk	1	0.8911068611044703	0	0	0
ʔaniːya-č̓ak	1	0.8911068611044703	0	0	0
hiyiq-šaḥap-ckʷi·	1	0.8911068611044703	0	0	0
qay̓u·xʷ	1	0.8911068611044703	0	0	0
ƛ̓ik-u·ɬ	2	1.3911068611044701	0	0	0
ʔuːš-ckʷi·-ʔaːɬ	1	0.8911068611044703	0	0	0
ƛ̓ik-uːɬ	1	0.8911068611044703	0	0	0
iʔaḥ	1	0.8911068611044703	0	0	0
qʷa-(č)iɬ	1	0.8911068611044703	0	0	0
ʕac̓ik	4	2.145947884293569	0	0	0
hiš-cuq	1	0.8911068611044703	0	0	0
qay̓a·xʷ	1	0.8911068611044703	0	0	0
yaqʷ	16	7.9324647382261535	0	0	0
čamiḥta	6	3.0663399474061674	0	0	0
hiš	8	4.079607936887402	0	0	0
č̓itkʔis	2	1.3911068611044701	0	0	0
n̓uw̓iːqsu	3	1.6445135070523547	0	0	0
ɬuːcma-matak	1	0.8911068611044703	0	0	0
ʔaːni	5	2.849988046856323	0	0	0
č̓am-ic̓i·	1	0.8911068611044703	0	0	0
pi·	1	0.8911068611044703	0	0	0
ʔu-kʷiɬ	16	7.794166865885728	0	0	0
taːpʔim	1	0.8911068611044703	0	0	0
saːč̓a-ink	2	1.3911068611044701	0	0	0
tapʕaq	4	2.3911068611044706	0	0	0
c̓awaːk	14	6.923978006215634	0	0	0
taːpʕim	2	1.3911068611044701	0	0	0
yaqʷ-siːk	1	0.8911068611044703	0	0	0
ʔuːna	3	1.7776715276117616	0	0	0
ʔunaː-ʕa·či	1	0.8911068611044703	0	0	0
ʔaƛakʷaɬ	6	3.1985417164714316	0	0	0
ḥaː	23	11.415491274205117	0	0	0
ʔuy-ista-im	1	0.8911068611044703	0	0	0
ʔaʔim	4	2.30695672961989	0	0	0
huʔa-a·s	1	0.8911068611044703	0	0	0
