item,gloss,token_freq,rel_freq,dispersion,flexibility
kʷaːtya,NAME,7,0.837,0.801,0.000
k̓ʷač,hit.the.right.spot,6,0.717,0.561,0.000
k̓ʷak̓ʷaƛ,sea.otter,6,0.717,0.806,0.000
kʷama,end.piece,4,0.478,0.891,0.000
kʷis,different,10,1.195,0.627,0.296
k̓ʷis,snow,4,0.478,0.916,0.000
kʷis-ʼa·tḥ,different-come.from,5,0.598,0.979,0.000
kʷis-aqs,different-on.the.side.of.a.channel,4,0.478,0.868,0.512
kʷis-ʼatḥ,different-come.from,5,0.598,0.979,0.455
kʷis-ca,different-go.to,9,1.076,0.768,0.000
kʷis-siɬa,different-act.like,6,0.717,0.671,0.000
kʷis-tu·p,different-thing,8,0.956,0.899,0.000
ƛ̓aːq,fat,7,0.837,0.830,0.000
ɬač,let.go,5,0.598,0.750,0.000
ƛaḥ,now,13,1.554,0.585,0.247
ƛaḥ-aqsak,recent-in.generation,4,0.478,0.876,0.000
ƛ̓aq,grow,5,0.598,0.839,0.000
ƛ̓aqapt,plants,4,0.478,0.877,0.000
ƛaqmis,oil,5,0.598,0.843,0.000
ƛatw̓a,paddling.steadily,4,0.478,0.710,0.000
ƛawa,hear,7,0.837,0.909,0.000
ƛawaː,near,4,0.478,0.723,0.000
ƛawa-uɬ,near-place.of,4,0.478,0.915,0.000
ƛawa-ʔiː,near-reach,7,0.837,0.632,0.000
ƛ̓ay̓ix,swift,6,0.717,0.773,0.000
ƛaʔuː,another,19,2.271,0.322,0.835
ƛaʔuːkʷiʔatḥ,Clayoquot,10,1.195,0.730,0.000
ƛ̓i,shoot,8,0.956,0.863,0.000
ƛiča·,stern,10,1.195,0.891,0.000
ƛiḥ,traveling.in.canoe,12,1.434,0.603,0.000
ɬim̓aqsti,mind,4,0.478,0.806,0.000
ƛimk,awake,5,0.598,0.773,0.000
ɬuːcma,wife,25,2.988,0.559,0.477
ɬuːcsaːmiːḥ,women,5,0.598,0.613,0.000
ƛuːkʷaːna,Wolf.Ritual,8,0.956,0.887,0.631
ɬuč-na·k,woman-having,5,0.598,0.727,0.000
ƛ̓uč̓um-ckʷi·,blue.mussel-remains.of,4,0.478,0.936,0.000
ƛuɬ,nice,7,0.837,0.631,0.545
ƛumk,awoke,8,0.956,0.910,0.000
ƛ̓up,warm,6,0.717,0.750,0.000
maː,here!,6,0.717,0.914,0.000
maːmaːti,bird,6,0.717,0.708,0.410
maːqtusiːs,Maaqtusiis,5,0.598,0.886,0.000
maːsuːɬ,howl,9,1.076,0.755,0.000
maːtmaːs,bands,5,0.598,0.703,0.000
maːʔak,gray.whale,12,1.434,0.852,0.000
mač,enter,17,2.032,0.794,0.000
maḥt̓iː,house,12,1.434,0.566,0.512
mamaɬn̓i,white.man,16,1.913,0.476,0.213
ma-maɬ-n̓i·,dwell-move-come,6,0.717,0.664,0.000
mamuːk,work,11,1.315,0.753,0.000
mat,fly,7,0.837,0.826,0.000
maʔas,house,5,0.598,0.759,0.000
maʔiƛqac,young.boy,4,0.478,0.982,0.000
miːmixt,NAME,5,0.598,0.886,0.000
minwaːʔath,British.soldiers,7,0.837,0.886,0.000
mixt,aged,4,0.478,0.886,0.631
muː,four,7,0.837,0.755,0.921
muː-či·ɬ,four-days.long,9,1.076,0.721,0.602
muːḥinƛ-as,sawbill-female,7,0.837,0.868,0.000
muːɬ,tide.is.up,7,0.837,0.598,0.545
muː-p̓it,four-times,4,0.478,0.864,0.512
muː-p̓it-ʕaƛ,four-times-make.sound,6,0.717,0.732,0.000
muː-qʔičḥ,four-year,6,0.717,0.875,0.613
muːstati,bow,4,0.478,0.868,0.000
m̓uč̓ič,clothed,6,0.717,0.842,0.000
m̓uksy̓i,stone,11,1.315,0.763,0.000
muwač,deer,11,1.315,0.739,0.432
muwač-m̓i·t,deer-son.of,34,4.064,0.903,0.000
n̓aːcsa,see,32,3.825,0.410,0.000
n̓aːcsiː,see,14,1.673,0.529,0.000
n̓aːs,day,7,0.837,0.511,0.000
naːw̓aḥi,waiting,4,0.478,0.959,0.000
naniːqsu,grandmother,4,0.478,0.886,0.512
nani·qsu,grandparent,10,1.195,0.873,0.556
naq,drink,11,1.315,0.635,0.000
nas,try.in.vain,6,0.717,0.793,0.000
nay̓aqak,baby,4,0.478,0.824,0.512
nay̓iːk,at.once,18,2.152,0.583,0.000
naʔaː,hear,21,2.510,0.532,0.000
naʔa·,hear,17,2.032,0.583,0.000
naʔi·qsu,aunt,5,0.598,0.744,0.000
niːw̓a,we,8,0.956,0.705,0.000
nism̓a,land,11,1.315,0.512,0.533
nuːčyuː,mountain.range,8,0.956,0.675,0.512
nuːk,song,9,1.076,0.768,0.318
nuč-a·n̓uɬ,mountain-all.along,6,0.717,0.689,0.000
nučiː,mountain,4,0.478,0.977,0.000
numaːk,forbidden,5,0.598,0.857,0.000
nunuːk,singing,13,1.554,0.824,0.562
n̓up-či·ɬ,one-days.long,10,1.195,0.610,0.613
n̓up-qʔičḥ,one-year,6,0.717,0.842,0.631
n̓uw̓i·q,dad,4,0.478,0.920,0.000
n̓uw̓i·qsu,father,11,1.315,0.802,0.597
piḥ,observe,9,1.076,0.734,0.000
pitiš,British,5,0.598,0.886,0.000
qaːḥma,NAME,8,0.956,0.886,0.000
qaːn̓im,private.part,4,0.478,0.801,0.631
qaːy̓uːk̓ʷatḥ,Kyuquot,5,0.598,0.760,0.000
qacc̓a,three,5,0.598,0.694,0.512
qaḥ,dead,29,3.466,0.491,0.228
qaɬaːtik,younger.brother,5,0.598,0.671,0.000
qawiqaːɬ,Qawiqaalth,31,3.705,0.920,0.218
qiː,for.a.long.time,27,3.227,0.380,0.144
qiː-sasa,for.a.long.time-precisely,5,0.598,0.566,0.000
quːʔas,person,81,9.682,0.341,0.106
qum̓aː,amount,8,0.956,0.481,0.602
quʔušin-m̓i·t,raven-son.of,13,1.554,0.953,0.000
qʷaː,thus,130,15.539,0.290,0.586
qʷaːƛaː,alos,11,1.315,0.768,0.000
q̓ʷaːxtiː,NAME,9,1.076,0.868,0.000
qʷayaːc̓ik-m̓i·t,wolf-son.of,8,0.956,0.868,0.000
qʷayac̓iːk,wolf,63,7.530,0.652,0.000
qʷayac̓iːk-štaqumɬ,wolf-groups,13,1.554,0.901,0.000
