freq,ref,pred,mod,entropy
17,8,5,4,0.960394881
17,7,7,3,0.943760012
17,7,6,4,0.977035876
17,7,5,5,0.987817132
17,6,6,5,0.996782826
18,18,0,0,0
18,17,1,0,0.195300159
18,16,2,0,0.317520657
18,16,1,1,0.387623963
18,15,3,0,0.410118486
18,15,2,1,0.506681847
18,14,4,0,0.482159361
18,14,3,1,0.595905918
18,14,2,2,0.622365973
18,13,5,0,0.537807789
18,13,4,1,0.664331655
18,13,3,2,0.707974906
18,12,6,0,0.579380164
18,12,5,1,0.716086326
18,12,4,2,0.772506886
18,12,3,3,0.789690082
18,11,7,0,0.608265978
18,11,6,1,0.75343974
18,11,5,2,0.820042596
18,11,4,3,0.850003101
18,10,8,0,0.625299374
18,10,7,1,0.777722032
18,10,6,2,0.852792488
18,10,5,3,0.89293529
18,10,4,4,0.905712598
18,9,9,0,0.630929754
18,9,8,1,0.789690082
18,9,7,2,0.872009434
18,9,6,3,0.920619836
18,9,5,4,0.943579441
18,8,8,2,0.878347105
18,8,7,3,0.934206402
18,8,6,4,0.965633607
18,8,5,5,0.975815904
18,7,7,4,0.972882503
18,7,6,5,0.9915324
18,6,6,6,1
19,19,0,0,0
19,18,1,0,0.187684093
19,17,2,0,0.306291638
19,17,1,1,0.372705296
19,16,3,0,0.397012058
19,16,2,1,0.488493136
19,15,4,0,0.468457499
19,15,3,1,0.576217396
19,15,2,2,0.601284816
19,14,5,0,0.524601931
19,14,4,1,0.644466645
19,14,3,2,0.685812883
19,13,6,0,0.567675108
19,13,5,1,0.697186209
19,13,4,2,0.750637265
19,13,3,3,0.766916083
19,12,7,0,0.599037526
19,12,6,1,0.736570564
19,12,5,2,0.799668007
19,12,4,3,0.828051643
19,11,8,0,0.619535659
19,11,7,1,0.763936071
19,11,6,2,0.835055451
19,11,5,3,0.873085474
19,11,4,4,0.885190292
19,10,9,0,0.629668452
19,10,8,1,0.780072974
19,10,7,2,0.858059728
19,10,6,3,0.904111687
19,10,5,4,0.925862892
19,9,9,1,0.785407017
19,9,8,2,0.869397881
19,9,7,3,0.922317215
19,9,6,4,0.952090357
19,9,5,5,0.961736743
19,8,8,3,0.928321324
19,8,7,4,0.96496184
19,8,6,5,0.982630164
19,7,7,5,0.989497539
19,7,6,6,0.997519476
20,20,0,0,0
20,19,1,0,0.180696362
20,18,2,0,0.295903274
20,18,1,1,0.35899625
20,17,3,0,0.384766393
20,17,2,1,0.471673418
20,16,4,0,0.455485915
20,16,3,1,0.557857816
20,16,2,2,0.581671866
20,15,5,0,0.511859507
20,15,4,1,0.625730986
20,15,3,2,0.665009912
20,14,6,0,0.55603265
20,14,5,1,0.679068196
20,14,4,2,0.729846699
20,14,3,3,0.745311576
20,13,7,0,0.589331328
20,13,6,1,0.719987714
20,13,5,2,0.779930285
20,13,4,3,0.806894739
20,12,8,0,0.612601619
20,12,7,1,0.749782011
20,12,6,2,0.817345422
20,12,5,3,0.853473943
20,12,4,4,0.864973521
20,11,9,0,0.626370942
20,11,8,1,0.769255237
20,11,7,2,0.843342654
20,11,6,3,0.887092016
20,11,5,4,0.90775566
20,10,10,0,0.630929754
20,10,9,1,0.778881391
20,10,8,2,0.858672711
20,10,7,3,0.908946079
20,10,6,4,0.937230563
20,10,5,5,0.94639463
20,9,9,2,0.863740053
20,9,8,3,0.919717324
20,9,7,4,0.954525814
20,9,6,5,0.971310722
20,8,8,4,0.960229718
20,8,7,5,0.983538631
20,8,6,6,0.991159471
20,7,7,6,0.997683477
