wordform	frequency	dispersion
home	3360	0.5655244857457674
study	124	0.9558344315877526
instead	442	0.8353851128443937
hurt	239	0.9127386195636408
was	29	0.9828447001379625
freedom	78	0.9764273963808532
aspect	88	0.9657011287071876
even	12	0.9863937851660027
curfew	2	0.9990953675782952
answer	213	0.9187747493047818
learned	288	0.8926626316747895
manage	69	0.9747073293436092
grades	68	0.9761542473896523
working	1174	0.6879097277589018
next	1001	0.6819929979742198
set	661	0.7927426785216478
goals	34	0.9871564418408699
love	967	0.7514117147188324
made	1367	0.6212327969357823
place	1588	0.6184073934737004
putting	378	0.8506358346425753
pressure	153	0.9516504680570012
feeling	268	0.9028743915876276
disappointed	69	0.9686928046074212
better	1577	0.57026913563499
makes	916	0.7190218732277867
letting	96	0.9564887545949221
down	3531	0.448664451834177
speak	198	0.9292645964956682
kind	2	0.998970058549563
work	4414	0.46678441615791205
harder	144	0.9426671069972433
classes	211	0.9395180232037752
interest	480	0.8804789649556535
give	1279	0.6304983841722261
pick	651	0.7907737720398138
choose	179	0.939369874598378
counselor	18	0.9946623292047196
helpful	79	0.9710989848734101
felt	420	0.8454442760625795
nobody	367	0.86087395331467
own	1451	0.6351176850272724
lenient	27	0.9915959617159318
sa	5	0.9966688168790645
show	709	0.8149608447267018
need	2067	0.5573049656706554
friend	581	0.8007692693894389
classroom	46	0.9853663128589908
systems	213	0.9329034966157302
general	356	0.8764313792617829
opposed	153	0.9439183454269925
everywhere	163	0.9332491766949889
nervous	52	0.9777045608165456
balance	115	0.9640381606116069
weekends	123	0.9521674449612498
week	1201	0.6731311849964353
nice	2524	0.5591878360212305
today	668	0.7905805717630581
childhood	60	0.9758246167426445
wondering	158	0.9384084518779378
mother	915	0.8050898305241687
great	2009	0.5663873949515403
deal	645	0.7788794161030878
uncle	100	0.960425495140417
wiggly	3	0.9991793184546862
favorite	638	0.8473566276439127
rabbit	68	0.9860950188117864
farmer	29	0.9876808261753891
chase	43	0.9900638582217844
carrot	5	0.9978712897262029
patch	13	0.9932064605137673
characters	54	0.9787490084845939
associated	36	0.9871567504837977
st	19	0.990732070160711
grade	283	0.9215821653770545
sick	209	0.9357136904743539
help	811	0.748093632704388
utilizing	5	0.9976848693977448
bugs	72	0.97779561048028
bunny	18	0.9905737363386924
thumper	4	0.9988753051706953
bambi	5	0.997451535344245
ah	457	0.8956772417031325
cousin	81	0.9700816977830182
phil	11	0.9955317763326426
trip	230	0.9223207479035425
canadian	14	0.9942462785378966
northwest	20	0.9924478161969632
hunt	80	0.9753638128512742
meeting	87	0.9682455810048798
published	25	0.9895866962552357
copyrighted	2	0.9986027734653499
thought	2144	0.5182727853453378
handwritten	2	0.9988956756039368
file	48	0.9815400664816868
uhem	1	0.9991793184546862
peter	34	0.9884752730718305
cottontail	2	0.9991793184546862
chasing	23	0.9892221889573735
wire	35	0.9871851456331657
mickey	11	0.9959768394346896
mouse	17	0.9939231293923749
disney	71	0.9780882039759388
world	853	0.7511034456863896
hundred	1412	0.681207115955932
ago	1461	0.5749068582294381
women	836	0.8782025295990415
three	2685	0.4654778396303187
sisters	176	0.9411433368621513
envisioned	2	0.998895058318081
patterned	5	0.9986851811271023
girls	239	0.9187463541554148
loved	231	0.9104302791058003
over	310	0.8700675002083343
fact	1446	0.5698278460185291
louisa	4	0.9952077012583366
may	84	0.9595217886474954
alcott	4	0.9952077012583366
massachusetts	96	0.9677807647554469
let	28	0.9822984021555617
hated	66	0.9697174991280838
later	421	0.8342084579760188
drawing	49	0.9762005438288395
blank	31	0.9848261877351483
cinderella	16	0.993345349831327
wicked	10	0.9970715958999874
stepsisters	2	0.9988083296553382
sometimes	1413	0.635824646842428
running	550	0.825756594647178
most	2346	0.48614522367556806
impact	98	0.9688273729239906
first	2248	0.48668472368752924
heidi	4	0.9991793184546862
alps	1	0.9991793184546862
good	7972	0.35092401041229604
girl	362	0.8794422205006805
record	164	0.9464223655011289
roy	16	0.9946509094163865
rogers	10	0.9960830126018907
gabby	1	0.9991793184546862
hayes	3	0.9981157349251083
quote	64	0.971888184840077
funny	722	0.7820041047115509
description	11	0.9950206636440239
cowboy	27	0.9918049129781267
paraphernalia	2	0.9988249963734454
existent	3	0.9983070935404127
tapaderos	1	0.9991793184546862
protect	78	0.9745091805838904
boots	17	0.9943110935527578
saddle	4	0.9984712915780607
laughs	10	0.9907953419609319
reverts	2	0.9989302436118627
normal	189	0.9273673684178035
sort	2177	0.6126685580443291
silly	66	0.9704866373044367
fun	1240	0.7334959267596295
real	3552	0.43191756424061933
red	199	0.9329649165583848
badge	6	0.997528696076223
courage	7	0.9963490628057493
serious	213	0.9291056453877938
character	88	0.9687023725381869
afraid	230	0.9129003484578659
ran	157	0.9339127589899967
away	1393	0.5994282080674391
conquered	2	0.9984928965830137
fear	75	0.9727360269630465
least	1159	0.6386902282245609
thinking	770	0.7342575131404717
affected	48	0.9808706199710492
abhorred	1	0.9991793184546862
aladdin	1	0.9991793184546862
lamp	11	0.9938580057345857
genie	4	0.9991793184546862
scared	128	0.9474090969416575
half	752	0.7633028196567189
death	468	0.9171750187157637
bottle	63	0.9788453050781019
picture	137	0.941680684199643
book	610	0.8850121577485133
loving	36	0.9869481078645305
scary	304	0.9062034142080693
ooh	228	0.9226377241905072
meet	211	0.9154867761937542
probably	12	0.9935894863873029
lois	3	0.9987330207809276
aunt	95	0.9718999132713365
negative	74	0.968971200528397
umm	33	0.9905169460399561
leave	454	0.8360431538831229
ways	351	0.8737523881246538
true	2147	0.5575888502809859
somehow	190	0.924018592649977
bought	856	0.8014725029582845
model	90	0.9679853950166522
t	165	0.9339936234371093
ford	126	0.9742480686668792
appropriate	69	0.9707162676428016
endings	4	0.9954521464572423
pollyanna	1	0.9991793184546862
seemed	281	0.8907126256562518
turn	540	0.8093114599233443
boring	92	0.9704826249463739
meg	5	0.9980987595640728
died	284	0.9111197874067516
dear	82	0.9722906552180716
traumatic	19	0.9914070722440504
swiss	9	0.9962898033635913
robinson	5	0.9975154244303227
found	752	0.7548498622894354
island	117	0.9632295161404822
fashioned	15	0.9918505921314578
implements	1	0.9991793184546862
coconut	2	0.9986388846879154
shells	14	0.9935027577245611
stones	11	0.9944431927259035
did	96	0.9675286034833434
identify	26	0.9858416229679727
identified	16	0.9910061450806952
jo	4	0.9953240596421595
