item	frequency	GER	INF	MOD	PRED	PREDCXN	REF	dispersion	dispersionREF	dispersionPRED	dispersionMOD	dispersionNorm	dispersionREFNorm	dispersionPREDNorm	dispersionMODNorm	gloss
much	5470	NaN	NaN	640	15	NaN	3240	0.3295585503544848	0.4057963016726648	0.9928767720895784	0.764787575345969	0.32957120675715473	0.405811885918288	0.9929149026379004	0.7648169463317928	
na	1085	NaN	NaN	0	0	NaN	0	0.7070097309586443	1	1	1	0.7070368830378028	1	1	1	
name	922	NaN	NaN	70	66	NaN	755	0.755299116589121	0.7813079819382885	0.9711258270007371	0.9687848023877208	0.7553281231791352	0.7813379873756169	0.9711631222233812	0.9688220077053992	
need	2711	NaN	NaN	3	2475	NaN	164	0.5006729469193762	0.9433161750361372	0.5174649624834179	0.9991364015502369	0.5006921748180769	0.9433524022538607	0.5174848352645238	0.9991747724940544	
never	3024	NaN	NaN	2	10	NaN	2	0.4413804792604931	0.9987975367013967	0.9945523558480289	0.999362823484593	0.44139743008477056	0.9988358946314114	0.9945905507456532	0.9994012031239433	
old	1977	NaN	NaN	838	3	NaN	5	0.5647696970219519	0.9982611286995172	0.9981668118286247	0.7485354124149489	0.5647913864992652	0.9982994660292602	0.9982051455362123	0.7485641592509271	
one	13050	NaN	NaN	3944	1	NaN	8383	0.24510454706793772	0.3097320767583721	0.9995748060282904	0.36786060317823366	0.2451139600898138	0.30974397174297813	0.9996131938086416	0.36787473053713615	
order	300	NaN	NaN	3	65	NaN	92	0.8933912291454491	0.969295711040142	0.973183593780001	0.9989256478908487	0.8934255390400815	0.9693329359788122	0.9732209680293458	0.9989640107408596	
other	4845	NaN	NaN	3841	0	NaN	895	0.3381766013379119	0.683460119095537	1	0.369976326264405	0.3381895887091559	0.6834863667728218	1	0.36999053487576866	
paint	490	NaN	NaN	47	139	NaN	131	0.953633379858516	0.9813876254422049	0.9762327629774011	0.9858546199137621	0.9536700032993037	0.9814253147600804	0.9762702543273739	0.9858924807825826	
pay	2979	NaN	NaN	80	1789	NaN	89	0.6482997515402904	0.9712871180665957	0.7011703430687372	0.9750776117247846	0.6483246489149679	0.9713244194834796	0.7011972708914035	0.975115058712202	
person	1149	NaN	NaN	1	1	NaN	1089	0.69081425381148	0.6988524569123397	0.9996893994903193	0.9996282624958307	0.6908407839177599	0.6988792957186521	0.9997277916715303	0.9996666523291299	
pretty	3808	NaN	NaN	51	1	NaN	1	0.4397729882947606	0.9997235010299571	0.9996675867937934	0.9783759372162992	0.43978987738477887	0.9997618945208073	0.9997059781373072	0.9784135108729702	
problem	2429	NaN	NaN	6	0	NaN	2422	0.547631373584181	0.54861897345598	1	0.9974930760049575	0.5476524048794436	0.5486400426791361	1	0.9975313838383207	
put	3571	NaN	NaN	36	2288	NaN	16	0.45842861958308184	0.9940654104396793	0.5218394779321323	0.9798800916133241	0.4584462251260078	0.9941035866365987	0.5218595187126087	0.9799177230357053	
real	3500	NaN	NaN	655	1	NaN	0	0.43405545516009686	1	0.999292777078847	0.764754983509908	0.43407212467334627	1	0.9993311540281274	0.7647843532440713	
right	9104	NaN	NaN	305	7	NaN	312	0.3083016490337023	0.9176405899779049	0.9972804790191041	0.8797855959498398	0.3083134890840053	0.9176758311476472	0.9973187786878694	0.8798193833322445	
run	1662	NaN	NaN	106	1038	NaN	97	0.6078404377348015	0.9642551348162882	0.7016003776368586	0.9551524815014498	0.6078637813055593	0.9642921661761169	0.7016273219746195	0.9551891632819834	
say	8784	NaN	NaN	96	7385	NaN	45	0.3026623246633282	0.9806896191533907	0.3236101098735622	0.9559220703013979	0.30267394814040033	0.9807272816649563	0.3236225378316723	0.9559587816373041	
see	8266	NaN	NaN	11	5562	NaN	46	0.3433561933876205	0.990502874821235	0.39463507139482346	0.9935858383371942	0.343369379676485	0.9905409142021462	0.3946502270033364	0.993623996116574	
