item	gloss	aspect	frequency	rel_freq	flexibility	flexibility_broad	definite	ger	inf	mod	pred	precxn	ref	mod_rel	pred_rel	ref_rel	pred_rel_broad	ref_rel_broad	dispersion	dispersion_ref	dispersion_pred	dispersion_mod	dispersion_ref_broad	dispersion_pred_broad	dispersion_norm	dispersion_ref_norm	dispersion_pred_norm	dispersion_mod_norm
c̓awa·	one-come	MOM	11	1.3148458044465694	0.2772917256537885	NaN	0	0	0	0	10	0	1	0	1.1953143676786995	0.11953143676786995	0	0	0.5571251602807902	0.9924695194836242	0.5464738226153478	1	1	1	0.5613524136949405	1	0.5506202577381669	1
c̓awa·k	one	NULL	1	0.11953143676786995	0	0	0	0	0	1	0	0	0	0.11953143676786995	0	0	0	0	0.8856084150131485	1	1	0.8856084150131485	1	1	0.8923280741900518	1	1	0.8923280741900518
c̓awaːk	one	NULL	14	1.6734401147501794	0.8420887815606471	0	0	0	0	2	8	0	3	0.2390628735357399	0.9562514941429596	0.35859431030360983	0	0	0.4366995662716437	0.6445135070523548	0.5369352139612718	0.7726512072675115	1	1	0.44001307616868257	0.6494038299409852	0.5410092737564736	0.7785137901963147
c̓awaːkʷaɬ	nine	NULL	1	0.11953143676786995	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0.8911068611044705	1	1	1	1	1	0.897868240395038	1	1	1
c̓ax	spear	MOM	4	0.4781257470714798	0.5118595071429148	NaN	0	0	0	0	3	0	1	0	0.35859431030360983	0.11953143676786995	0	0	0.9203920631125987	0.9203920631125987	0.9203920631125987	1	1	1	0.9273756473563773	0.9273756473563773	0.9273756473563773	1
c̓axʷ	spear	TEL	3	0.35859431030360983	0	NaN	0	0	0	0	3	0	0	0	0.35859431030360983	0	0	0	0.8870427922543629	1	0.8870427922543629	1	1	1	0.8937733349391787	1	0.8937733349391787	1
c̓aʔak	river	NULL	15	1.7929715515180493	0.35742770336531254	NaN	6	0	0	0	2	0	13	0	0.2390628735357399	1.5539086779823092	0	0	0.6401227189417484	0.6298663086853381	0.7534066459478844	1	1	1	0.6449797262033804	0.6346454942143248	0.7591232084788632	1
c̓aː	current	NULL	3	0.35859431030360983	0	NaN	0	0	0	0	0	0	3	0	0	0.35859431030360983	0	0	0.867798230934736	0.867798230934736	1	1	1	1	0.8743827532217272	0.8743827532217272	1	1
c̓aːnit	strong.current.flowing	NULL	2	0.2390628735357399	0	NaN	0	0	0	0	2	0	0	0	0.2390628735357399	0	0	0	0.867798230934736	1	0.867798230934736	1	1	1	0.8743827532217272	1	0.8743827532217272	1
c̓aːḥ	hard	NULL	3	0.35859431030360983	0.579380164285695	NaN	1	0	0	0	2	0	1	0	0.2390628735357399	0.11953143676786995	0	0	0.7767152761176189	0.8856084150131485	0.8911068611044705	1	1	1	0.782608695652174	0.8923280741900518	0.897868240395038	1
c̓aḥʷackʷi	afterbirth	NULL	2	0.2390628735357399	0	NaN	0	0	0	0	0	0	2	0	0	0.2390628735357399	0	0	0.9896007650011953	0.9896007650011953	1	1	1	1	0.9971094785017464	0.9971094785017464	1	1
c̓i	scoop.up.in.a.vessel-in.the.mouth	TEL	3	0.35859431030360983	0	NaN	0	0	0	0	3	0	0	0	0.35859431030360983	0	0	0	0.867798230934736	1	0.867798230934736	1	1	1	0.8743827532217272	1	0.8743827532217272	1
c̓ic̓iša	loathing	INCEP	2	0.2390628735357399	0	NaN	0	0	0	0	2	0	0	0	0.2390628735357399	0	0	0	0.867798230934736	1	0.867798230934736	1	1	1	0.8743827532217272	1	0.8743827532217272	1
c̓ikt̓aqis	Atheo.River	NULL	1	0.11953143676786995	0	NaN	0	0	0	0	0	0	1	0	0	0.11953143676786995	0	0	0.8856084150131485	0.8856084150131485	1	1	1	1	0.8923280741900518	0.8923280741900518	1	1
c̓iq	pray-converse.with	NULL	2	0.2390628735357399	0	NaN	0	0	0	0	2	0	0	0	0.2390628735357399	0	0	0	0.8911068611044705	1	0.8911068611044705	1	1	1	0.897868240395038	1	0.897868240395038	1
c̓is	rope-around.the.head-thing	NULL	4	0.4781257470714798	0.5118595071429148	NaN	0	0	0	0	1	0	3	0	0.11953143676786995	0.35859431030360983	0	0	0.8351661486971074	0.8585943103036099	0.9765718383934975	1	1	1	0.841503071179092	0.8651089967481633	0.9839816933638444	1
c̓isimc	soil	NULL	1	0.11953143676786995	0	NaN	1	0	0	0	0	0	1	0	0	0.11953143676786995	0	0	0.867798230934736	0.867798230934736	1	1	1	1	0.8743827532217272	0.8743827532217272	1	1
c̓isq	meat-thing	NULL	1	0.11953143676786995	0	NaN	0	0	0	0	0	0	1	0	0	0.11953143676786995	0	0	0.8856084150131485	0.8856084150131485	1	1	1	1	0.8923280741900518	0.8923280741900518	1	1
c̓istu·p	rope	NULL	2	0.2390628735357399	0	NaN	1	0	0	0	0	0	2	0	0	0.2390628735357399	0	0	0.9765718383934975	0.9765718383934975	1	1	1	1	0.9839816933638444	0.9839816933638444	1	1
c̓itkʷ	roll.over-on.the.bed	NULL	2	0.2390628735357399	0	NaN	0	0	0	0	2	0	0	0	0.2390628735357399	0	0	0	0.934855366961511	1	0.934855366961511	1	1	1	0.9419486932434061	1	0.9419486932434061	1
c̓iwaːp	innards	NULL	1	0.11953143676786995	0	NaN	1	0	0	0	0	0	1	0	0	0.11953143676786995	0	0	0.867798230934736	0.867798230934736	1	1	1	1	0.8743827532217272	0.8743827532217272	1	1
c̓ixʷatin	bald.eagle	NULL	1	0.11953143676786995	0	NaN	0	0	0	0	0	0	1	0	0	0.11953143676786995	0	0	0.977049964140569	0.977049964140569	1	1	1	1	0.9844634469468867	0.9844634469468867	1	1
c̓iyup	innards	NULL	1	0.11953143676786995	0	NaN	0	0	0	0	0	0	1	0	0	0.11953143676786995	0	0	0.867798230934736	0.867798230934736	1	1	1	1	0.8743827532217272	0.8743827532217272	1	1
c̓iš	filth	NULL	2	0.2390628735357399	0	NaN	0	0	0	0	2	0	0	0	0.2390628735357399	0	0	0	0.867798230934736	1	0.867798230934736	1	1	1	0.8743827532217272	1	0.8743827532217272	1
c̓išaːʔatḥ	NAME	NULL	1	0.11953143676786995	0	NaN	0	0	0	0	0	0	1	0	0	0.11953143676786995	0	0	0.9906765479321062	0.9906765479321062	1	1	1	1	0.9981934240635916	0.9981934240635916	1	1
c̓iːq	sing	CONT	12	1.4343772412144393	0.41011848630651815	NaN	0	0	0	0	10	0	2	0	1.1953143676786995	0.2390628735357399	0	0	0.7284245756633996	0.8766435572555582	0.7284245756633996	1	1	1	0.7339515837649043	0.8832951945080092	0.7339515837649043	1
c̓iːqaː	sing	NULL	1	0.11953143676786995	0	NaN	0	0	0	0	1	0	0	0	0.11953143676786995	0	0	0	0.8870427922543629	1	0.8870427922543629	1	1	1	0.8937733349391787	1	0.8937733349391787	1
c̓iːsapiq	make.a.phone.call	MOM	1	0.11953143676786995	0	NaN	0	0	0	0	1	0	0	0	0.11953143676786995	0	0	0	0.9158498685154195	1	0.9158498685154195	1	1	1	0.9227989883174755	1	0.9227989883174755	1
c̓iːšcy̓ak	dirty	NULL	1	0.11953143676786995	0	NaN	0	0	0	0	1	0	0	0	0.11953143676786995	0	0	0	0.867798230934736	1	0.867798230934736	1	1	1	0.8743827532217272	1	0.8743827532217272	1
c̓iːḥati	arrow	NULL	2	0.2390628735357399	0.6309297535714575	NaN	0	0	0	0	1	0	1	0	0.11953143676786995	0.11953143676786995	0	0	0.8497489839827875	0.9819507530480516	0.867798230934736	1	1	1	0.8561965554618813	0.98940142117307	0.8743827532217272	1
c̓iːḥatiq	arrow-make	NULL	1	0.11953143676786995	0	NaN	0	0	0	0	1	0	0	0	0.11953143676786995	0	0	0	0.9819507530480516	1	0.9819507530480516	1	1	1	0.98940142117307	1	0.98940142117307	1
c̓us	dig-on.the.ground	TEL	10	1.1953143676786995	0	NaN	0	0	0	0	10	0	0	0	1.1953143676786995	0	0	0	0.854936648338513	1	0.854936648338513	1	1	1	0.8614235818378899	1	0.8614235818378899	1
c̓uš	new-round.obj	NULL	1	0.11953143676786995	0	NaN	0	0	0	0	1	0	0	0	0.11953143676786995	0	0	0	0.8870427922543629	1	0.8870427922543629	1	1	1	0.8937733349391787	1	0.8937733349391787	1
c̓uʔičḥ	winter	NULL	4	0.4781257470714798	0.5118595071429148	NaN	0	0	0	0	3	0	1	0	0.35859431030360983	0.11953143676786995	0	0	0.9158498685154195	0.9158498685154195	0.9158498685154195	1	1	1	0.9227989883174755	0.9227989883174755	0.9227989883174755	1
dup	DISTR-human-being	NULL	1	0.11953143676786995	0	NaN	0	0	0	0	0	0	1	0	0	0.11953143676786995	0	0	0.9203920631125987	0.9203920631125987	1	1	1	1	0.9273756473563773	0.9273756473563773	1	1
ha	INTJ	NULL	8	0.9562514941429596	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0.956012431269424	1	1	1	1	1	0.9632662892930268	1	1	1
hakʷiːḥa	starve	NULL	1	0.11953143676786995	0	NaN	0	0	0	0	1	0	0	0	0.11953143676786995	0	0	0	0.977049964140569	1	0.977049964140569	1	1	1	0.9844634469468867	1	0.9844634469468867	1
hamip	recognize	MOM	1	0.11953143676786995	0	NaN	0	0	0	0	1	0	0	0	0.11953143676786995	0	0	0	0.867798230934736	1	0.867798230934736	1	1	1	0.8743827532217272	1	0.8743827532217272	1
hamu·t	bone-fond.of.eating	NULL	2	0.2390628735357399	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0.9566100884532631	1	1	1	1	1	0.9638684812718294	1	1	1
