wordform	frequency	dispersion
everybody	1304	0.6247749914239603
anyway	1276	0.6269965468398982
interesting	1662	0.6300291850596577
give	1279	0.630677265755418
six	1267	0.6327096026502843
twenty	1506	0.6333351534040215
heard	1339	0.6354863387614421
own	1451	0.635625839353629
school	3238	0.6361901945652808
sometimes	1413	0.6363854954902151
least	1159	0.6391023886514341
ten	1242	0.6432397170600738
talk	1178	0.6456151698236355
start	1222	0.6475495869589849
area	1533	0.6479392868142834
able	1213	0.6490568299613936
use	1960	0.64909789076115
almost	1071	0.6528938786238951
type	1344	0.6532034140655468
remember	1701	0.6540143371299274
high	1368	0.657905259164019
point	1192	0.6592118768514005
house	2198	0.6612328937280644
family	2026	0.6639963588327691
usually	1382	0.6653050459548152
call	1151	0.6671356008055892
husband	1379	0.670595146700309
person	1263	0.6729105818786564
week	1201	0.6733047996577248
ones	1067	0.6761457392239336
wanted	1078	0.6774550830743304
life	1270	0.67973529735172
next	1001	0.6807288104040616
yet	950	0.6812731548686073
care	2097	0.681644723994529
hundred	1412	0.682083120220467
took	1113	0.6830184903158704
gets	975	0.6830682783484406
end	991	0.6844503813445175
goes	1007	0.6845756556684691
called	1082	0.6848108632759804
working	1174	0.6874709903422431
looking	984	0.6876816458672362
exactly	1252	0.6886998083023895
am	1058	0.6917350409970098
texas	1396	0.695447237370135
gone	885	0.695454557407291
job	1225	0.6969649560753782
especially	915	0.697984561737926
children	2004	0.6988986648659461
days	1032	0.7002541236302618
saying	953	0.7008156589055324
night	1084	0.7031606034404667
seen	1275	0.705555585374072
pay	1834	0.7078192712676175
coming	850	0.7083787519035281
believe	1007	0.7103622800220988
makes	916	0.7197036449560572
while	826	0.7203295867722891
idea	891	0.7209889669928649
such	830	0.7225883779265652
run	926	0.7253789148155932
comes	807	0.7278448664668425
boy	841	0.7281255908514753
country	1218	0.7291065206682478
someone	1066	0.729933511047181
dollars	1346	0.7315321027732273
eight	883	0.731702702664007
best	827	0.7318317659829652
fun	1240	0.7334796225957523
thinking	770	0.7338086043407257
dallas	1173	0.7345081467349314
buy	1195	0.734595127577825
understand	870	0.7370027818868594
small	881	0.7399413856706648
nothing	738	0.7406018768135645
reason	700	0.7437880929449087
worked	838	0.7468013151393775
thirty	908	0.7468416688603527
guy	950	0.7472873454101935
help	811	0.7473205790408164
seem	789	0.7473326432306853
sounds	858	0.7475311322103231
basically	808	0.7493501996640417
hear	826	0.7499958802248564
love	967	0.7504234074350716
world	853	0.7506053250190011
lived	862	0.7507776273356784
matter	702	0.7528380433278618
stay	804	0.7534322280275542
gotten	672	0.753648410767307
wife	985	0.7542481598841492
found	752	0.7545001551466439
seven	752	0.7556236626282462
college	1259	0.7563044500022651
parents	995	0.7610116891985149
agree	942	0.7611763500940333
half	752	0.7630412083312204
together	854	0.7632969899791842
certain	753	0.7648132392358015
problems	879	0.766972454919906
taking	678	0.7680155208088516
months	712	0.7687452912544703
close	677	0.7691080130293225
state	1129	0.7695549207290501
definitely	776	0.769592444635554
saw	874	0.7703153176889673
supposed	721	0.7708320976579848
friends	733	0.772944073665695
anymore	664	0.7731015130064357
name	809	0.7733029592322188
enjoy	995	0.7762318413141686
change	783	0.7762603493114245
spend	862	0.7765807664058896
happened	642	0.7787921787083762
deal	645	0.7789215689951912
mine	663	0.7795357218076154
living	660	0.7800245483605769
several	600	0.7807774920621755
funny	722	0.7813525133069176
read	1773	0.7822682364540895
happen	639	0.7823774917549546
system	1079	0.7828290019595989
car	2150	0.7845869357237407
less	679	0.785117596548062
places	749	0.7860421334676112
number	720	0.786392621624983
left	580	0.7868020632331961
watch	1435	0.7868344250038265
side	693	0.7869345339213868
young	725	0.7869493609086486
says	609	0.7874940121212026
today	668	0.7902180206336468
pick	651	0.7906076513664269
rather	633	0.7908994972327054
fifty	687	0.7921744740967117
anybody	575	0.792344454135265
set	661	0.7928330439796488
older	653	0.7928699130143971
making	593	0.7936899821379431
man	641	0.793888150108468
takes	546	0.7958657192036165
knew	602	0.796241764554983
certainly	706	0.7975686767589135
mind	540	0.7984013751215436
play	1131	0.7984495000402747
moved	686	0.7992286440070866
sit	610	0.7993342519243555
city	838	0.800015975496047
friend	581	0.8000236094903673
thousand	825	0.8001288987925781
hum	698	0.8002905382690657
bought	856	0.8010954534596736
told	678	0.8024405642422293
gonna	1194	0.802447323105943
mother	915	0.8031315044462575
tried	610	0.8043326884964375
town	657	0.8047617331149037
works	573	0.8057554796719485
kinds	547	0.8067971972642305
wonderful	754	0.8087032793596824
turn	540	0.8089398261435917
gosh	600	0.8093063562504883
business	654	0.8098836092946656
nine	554	0.8105452331768884
situation	644	0.8111581698428217
easy	620	0.8113410883861664
already	520	0.8121644185764284
company	957	0.8127322507681163
month	795	0.8134625377660931
show	709	0.8147033672272932
recently	544	0.8163471460155811
ahead	525	0.8168520153373539
summer	696	0.8169130102988451
second	503	0.8172120169090942
age	573	0.8177227218304467
middle	499	0.8179014600583222
weeks	567	0.8198085617686629
hm	929	0.8203122287813917
often	524	0.8207024599391036
involved	609	0.8209013531960985
guys	529	0.8227880955711808
minutes	558	0.8230967864823918
drive	680	0.8237498835496563
hand	520	0.8242335986187337
somewhere	430	0.8245314601706976
running	550	0.8249128169421801
decided	482	0.825215427467184
tv	839	0.825415538890222
neat	620	0.8255178124551088
child	947	0.8258194968559306
married	565	0.8294219264308563
imagine	430	0.8295135000622116
top	512	0.8296179552286724
looked	476	0.8296452352986226
absolutely	594	0.8296495989996877
worth	515	0.8298298274114013
bring	459	0.8304775598044226
important	672	0.8309248174613045
full	467	0.8315506896078714
expensive	537	0.8321851408955756
paying	643	0.8321970193196001
room	585	0.8323288740193877
enjoyed	512	0.8324253414378243
hope	505	0.8326013791154185
later	421	0.8327231751238563
taken	428	0.8338898320145293
liked	510	0.834050748765535
hours	530	0.8342877156115924
talked	465	0.8345909527257619
leave	454	0.83478106935388
wrong	508	0.8349932639359615
instead	442	0.8355640843463092
difference	493	0.8356694720095129
morning	561	0.8357162936234724
fine	423	0.8358742052574739
yep	642	0.8367082458812015
major	546	0.8370823487699603
forty	516	0.8378717227682697
son	609	0.8405557005775248
past	440	0.841041049344312
hour	547	0.8412095255641904
large	527	0.8412407430448994
fairly	455	0.8414073142620273
trouble	428	0.8415138625830834
fifteen	473	0.8416189321917
learn	475	0.8435929505051485
early	415	0.8439693770172835
daughter	565	0.844074539391662
felt	420	0.8442002036875756
ready	417	0.8444490527606116
cut	528	0.8446326208457603
experience	482	0.8448443965714963
lives	453	0.8454948333095221
program	651	0.8458426075696207
sense	493	0.8458638058239908
favorite	638	0.8459983686560758
line	438	0.8462933008907875
water	718	0.8464805812338664
particular	455	0.8468663255938786
bet	474	0.8471224730798983
wait	434	0.8472201975008212
cost	544	0.847534474045195
god	468	0.8476745373161938
wonder	470	0.8477148128178774
sitting	395	0.8480109739368988
dad	650	0.8481436934425176
gave	385	0.8484994514607546
amount	521	0.8485052926511186
mostly	489	0.8488520189669251
paper	797	0.8490517533738123
question	443	0.8490707035710469
kept	392	0.8492865558520237
ask	387	0.8497431435310799
putting	378	0.8498856150094173
growing	406	0.8499661288761701
case	537	0.8502767757264592
ti	660	0.8506712012497744
finally	383	0.8507403259922859
figure	371	0.8513211137764407
everyone	454	0.8515907139357018
rest	374	0.8517200540094652
percent	626	0.8526755115614959
interested	442	0.852785429285538
happens	393	0.8535938539930887
spent	427	0.8541406488816384
paid	537	0.8544217561678461
kid	425	0.854457151650378
front	452	0.8544899592471241
wish	380	0.8552203773596491
eighty	632	0.8555523297342372
starting	362	0.8558707117634274
lots	449	0.8560629311655823
government	862	0.8563990050071579
difficult	419	0.8572641655798725
miles	571	0.8574936602630467
story	676	0.8574991897044043
looks	410	0.8581345266399452
north	532	0.8581655522222059
street	399	0.8590740488380568
nobody	367	0.8598091849885636
twelve	401	0.8601974603335939
wants	360	0.8610481307901564
eat	649	0.8611463999963094
grew	403	0.8612558890440356
needs	384	0.8616844624476
move	380	0.8621281664892464
states	475	0.8624188437120284
walk	472	0.8626116556604715
tend	455	0.8632629643454571
watching	492	0.8633250230031791
soon	315	0.864911424871609
realize	326	0.8665365227291622
group	422	0.8684270434425968
over	310	0.8685800395393523
food	723	0.8687671040315647
turned	319	0.8694605351483956
goodness	384	0.8696193684456303
father	440	0.8696726119531062
either	310	0.8696801982190391
mom	529	0.8705465337821066
hit	415	0.8706067769897559
changed	391	0.8708873405496577
american	537	0.871236887420371
hate	364	0.8714098528871863
open	346	0.8715201452541258
sister	393	0.8724252771793702
totally	328	0.8725890488723917
ways	351	0.8735084800698009
public	653	0.8736906621689505
needed	331	0.8737850430829068
areas	364	0.8740856666056792
news	1108	0.8742140365661514
store	372	0.8742780812576945
longer	327	0.8746070772772205
control	510	0.8748036247388495
chance	354	0.8749496931993983
door	404	0.8750178572251481
younger	337	0.8756600386180543
become	330	0.8758458180298838
bunch	318	0.8758891970664088
general	356	0.8764380738184243
air	571	0.8765350687870008
happy	327	0.876851020029645
sixty	381	0.8769591049677533
playing	427	0.8770959264970906
brother	385	0.8774037321256425
thank	317	0.8775186086932334
lost	310	0.877599450807637
class	432	0.877773630293227
girl	362	0.8778194062338227
terrible	305	0.8778544294366931
bye	444	0.8779155664311804
women	836	0.8779621034421754
crazy	312	0.8781887952691734
sorry	320	0.8783948313125868
stop	331	0.8789204865767436
head	278	0.879077783768587
using	409	0.879353238637656
late	337	0.8794842372545494
sound	287	0.8795896140842429
weekend	353	0.8796292456032824
brought	294	0.880362889537125
interest	480	0.8803907122459855
topic	365	0.8809933787334535
hold	294	0.8812449212515568
given	312	0.8812861981757922
ended	309	0.881456903795255
woman	402	0.8824974615858437
forth	362	0.8827602365999477
hot	410	0.8829042222928827
