item	gloss	aspect	frequency	rel_freq	flexibility	flexibility_broad	definite	ger	inf	mod	pred	precxn	ref	mod_rel	pred_rel	ref_rel	pred_rel_broad	ref_rel_broad	dispersion	dispersion_ref	dispersion_pred	dispersion_mod	dispersion_ref_broad	dispersion_pred_broad	dispersion_norm	dispersion_ref_norm	dispersion_pred_norm	dispersion_mod_norm	language
business		NA	629	0.193242057951112	0.517445469936257	0.0843540213567315	0	0	0	158	0	3	460	0.0485409302961458	0	0.141321695798905	0.000921663233471122	0	0.817616671044565	0.852200531078383	1	0.945066413516497	1	0.999118582727722	0.817648070884767	0.852233259080935	1	0.945102707950571	English
central		NA	53	0.0162827171246565	0.0906811169816236	0.0906811169816236	0	0	0	48	0	1	1	0.014746611735538	0	0.000307221077823707	0.000307221077823707	0	0.976731075565631	0.999329643608186	1	0.978251512679781	1	0.999695851132954	0.976768586052855	0.999368021973293	1	0.978289081558038	English
certain		NA	733	0.225193050044777	0.0176593690642687	0.101412840633109	0	0	0	706	0	17	2	0.216898080943537	0	0.000614442155647415	0.00522275832300302	0	0.767378876167316	0.999330258050345	1	0.775272107035858	1	0.992820550632336	0.76740834666974	0.999368636439049	1	0.775301880670785	English
child		NA	2551	0.783720969528277	0.325933870185556	0.0668082178175547	0	0	0	283	0	4	2165	0.0869435650241092	0	0.665133633488326	0.00122888431129483	0	0.676753083542039	0.682202602431436	1	0.953526974778685	1	0.997796610429847	0.676779073641595	0.682228801814913	1	0.95356359413308	English
come		NA	5446	1.67312598982791	0.254901809488401	0.600263362953761	0	0	446	263	4528	0	64	0.080799143467635	1.39109704038575	0.0196621489807173	0	0.137020600709373	0.329770483216632	0.968635800164976	0.35081738311789	0.880793613488232	0.814628331620576	1	0.329783147758395	0.968672999760356	0.350830855947102	0.880827439582653	English
consider		NA	474	0.145622790888437	0.0582204611797363	0.739668715059105	0	10	32	4	336	60	0	0.00122888431129483	0.103226282148766	0	0.0184332646694224	0.0129032852685957	0.833807529066953	1	0.873857790435285	0.998196612273173	0.980727100124885	0.975563021027746	0.833839550702641	1	0.873891350165597	0.99823494712522	English
day		NA	3082	0.946855361852666	0.329365591182295	0	0	0	0	343	0	0	2577	0.105376829693532	0	0.791708717551694	0	0	0.47849104543811	0.491000791670092	1	0.94453399938863	1	1	0.478509421460637	0.491019648118283	1	0.944570273375813	English
decide		NA	789	0.242397430402905	0.0972486447571249	0.365496215449013	0	13	94	10	652	3	3	0.00307221077823707	0.200308142741057	0.000921663233471122	0.000921663233471122	0.0328726553271367	0.751877725590494	0.998588011926321	0.78004324909435	0.996445452129579	0.959597970497559	0.998567120893029	0.751906600785033	0.998626361809724	0.780073205960739	0.99648371972988	English
different		NA	2130	0.654380895764497	0.0117407867756849	0.417736414994852	0	0	0	1705	0	354	3	0.523811937689421	0	0.000921663233471122	0.108756261549592	0	0.524373615706715	0.998608902959612	1	0.579575272445746	1	0.856254329897065	0.524393753808496	0.998647253645316	1	0.579597530517999	English
difficult		NA	380	0.116744009573009	0	0.375787180672831	0	0	0	54	0	320	0	0.0165899382024802	0	0	0.0983107449035864	0	0.867740711554738	1	1	0.977600203994795	1	0.885929428246213	0.867774036364083	1	1	0.977637747860122	English
door		NA	430	0.132105063464194	0.0926853071860426	0	0	0	0	9	0	0	420	0.00276498970041337	0	0.129032852685957	0	0	0.865849458599655	0.868033186020826	1	0.996465114278559	1	1	0.865882710777114	0.868066522062393	1	0.996503382633968	English
down		NA	3369	1.03502781118807	0.277291725653789	0.142584280773192	0	0	0	10	0	264	1	0.00307221077823707	0	0.000307221077823707	0.0811063645454587	0	0.456554751075413	0.999255910549508	1	0.995185231268345	1	0.891468317058296	0.456572284654088	0.999294286082963	1	0.995223450470986	English
end		NA	1368	0.420278434462832	0.720947054320118	0.629150783340646	0	13	17	34	693	0	604	0.010445516646006	0.212904206931829	0.185561531005519	0	0.00921663233471122	0.613569033344241	0.780725812237849	0.766433994578824	0.987008542282068	0.983664440849956	1	0.613592596916612	0.780755795317469	0.766463428793913	0.987046447466249	English
enjoy		NA	1565	0.480800986794102	0.00508625672615878	0.137709212936122	0	19	48	1	1485	1	0	0.000307221077823707	0.456223300568205	0	0.000307221077823707	0.0205838122141884	0.677113095160535	1	0.685818940374952	0.999330872492497	0.969659768017363	0.999768048086242	0.677139099086017	1	0.685845278640668	0.999369250904798	English
everybody		NA	1228	0.377267483567513	0.302040907067608	0	0	0	0	0	120	4	1044	0	0.0368665293388449	0.32073880524795	0.00122888431129483	0	0.635237411767694	0.671384043668191	0.938592036522441	1	1	0.997822724221463	0.635261807494844	0.671409827574552	0.938628082313831	1	English
everything		NA	1971	0.605532744390527	0	0	0	0	0	0	0	7	1960	0	0	0.602153312534466	0.00215054754476595	0	0.517707021396748	0.519709788624687	1	1	1	0.996693379539382	0.517726903473911	0.519729747616342	1	1	English
fan		NA	217	0.0666669738877445	0.067123610445711	0	0	0	0	3	0	0	211	0.000921663233471122	0	0.0648236474208023	0	0	0.941724769853009	0.942033219815144	1	0.998401221511004	1	1	0.941760935954234	0.942069397762115	1	0.998439564220887	English
father		NA	447	0.137327821787197	0.039873077719101	0	0	0	0	3	0	0	401	0.000921663233471122	0	0.123195652207307	0	0	0.867386792873084	0.875492821011462	1	0.998968966062823	1	1	0.867420104090497	0.875526443533668	1	0.99900733057643	English
feel		NA	2707	0.831647457668776	0.134877066282612	0.205068707418323	0	146	53	5	2382	5	73	0.00153610538911854	0.731800607376071	0.0224271386811306	0.00153610538911854	0.0611369944869178	0.529267913241214	0.970541799731795	0.549374007840847	0.997402445786999	0.921642956879984	0.997829175864096	0.529288239304134	0.970579072525392	0.549395106060427	0.99744075013979	English
figure		NA	577	0.177266561904279	0.378195404738391	0.275573582510234	0	9	110	5	384	4	50	0.00153610538911854	0.117972893884304	0.0153610538911854	0.00122888431129483	0.0365593082610212	0.787962702796759	0.976785760917484	0.840098027045439	0.997709666864823	0.948271343800354	0.997913047218342	0.787992963802717	0.97682327350485	0.8401302902621	0.997747983016165	English
first		NA	2130	0.654380895764497	0.328278893945306	0.0329794585422705	0	0	0	1345	0	8	178	0.413212349672886	0	0.0546853518526199	0.00245776862258966	0	0.497642335687621	0.924254643262564	1	0.60900708471792	1	0.996083545699902	0.497661447198396	0.924290138439133	1	0.609030473092716	English
