item	frequency	REF	PRED	MOD	dispersion	dispersionREF	dispersionPRED	dispersionMOD	dispersionNorm	dispersionREFNorm	dispersionPREDNorm	dispersionMODNorm	gloss
caq	2	0	2	0	0.8856084150131484	1	0.8856084150131484	1	0.8923280741900517	1	0.8923280741900517	1	head.down
caxtqiː	1	1	0	0	0.9158498685154195	0.9158498685154195	1	1	0.9227989883174755	0.9227989883174755	1	1	
cik	2	0	1	0	0.8911068611044705	1	0.8911068611044705	1	0.897868240395038	1	0.897868240395038	1	aslant
cik-paɬ	2	0	2	0	0.8911068611044705	1	0.8911068611044705	1	0.897868240395038	1	0.897868240395038	1	aslant-on.each.side
cikimin	1	0	0	0	0.8911068611044705	1	1	1	0.897868240395038	1	1	1	
cikʷ-as	1	0	1	0	0.8911068611044705	1	0.8911068611044705	1	0.897868240395038	1	0.897868240395038	1	aslant-??
ciq	21	5	16	0	0.5023735528158191	0.8236911307673919	0.5729440592875927	1	0.5061853718965605	0.8299409851860774	0.5772913404793449	1	speak
ciq-inkʷ	1	0	1	0	0.9896007650011953	1	0.9896007650011953	1	0.9971094785017464	1	0.9971094785017464	1	speak-converse.with
ciq-y̓akʷ	2	2	0	0	0.9906765479321061	0.9906765479321061	1	1	0.9981934240635915	0.9981934240635915	1	1	speak-instrument
ciq-ʼas	1	0	1	0	0.9661726033946928	1	0.9661726033946928	1	0.973503552932675	1	0.973503552932675	1	speak-go.in.order.to
cis-insʔiː	1	0	1	0	0.9203920631125987	1	0.9203920631125987	1	0.9273756473563773	1	0.9273756473563773	1	swim-approach
citk	2	0	2	0	0.9660530719579249	1	0.9660530719579249	1	0.9733831145369144	1	0.9733831145369144	1	lay.down
ciɬ	1	0	1	0	0.9894812335644274	1	0.9894812335644274	1	0.9969890401059858	1	0.9969890401059858	1	drop.droppings
ciʕas	2	0	2	0	0.977049964140569	1	0.977049964140569	1	0.9844634469468867	1	0.9844634469468867	1	propose
cubicɬe	1	0	1	0	0.887042792254363	1	0.887042792254363	1	0.8937733349391788	1	0.8937733349391788	1	cubicle
cus	2	0	2	0	0.867798230934736	1	0.867798230934736	1	0.8743827532217272	1	0.8743827532217272	1	dig
cuw̓it	1	1	0	0	0.9158498685154195	0.9158498685154195	1	1	0.9227989883174755	0.9227989883174755	1	1	
c̓a	2	0	2	0	0.867798230934736	1	0.867798230934736	1	0.8743827532217272	1	0.8743827532217272	1	flowing
c̓a-ʔiː-ʼa·	1	1	0	0	0.9203920631125987	0.9203920631125987	1	1	0.9273756473563773	0.9273756473563773	1	1	flowing-reach??-on.the.rock
c̓a-ʔuq-ʼaqƛ	1	1	0	0	0.8856084150131484	0.8856084150131484	1	1	0.8923280741900517	0.8923280741900517	1	1	flowing-??-inside
c̓a-ʔuq-ʼaqƛ-ʔis	1	0	1	0	0.8856084150131484	1	0.8856084150131484	1	0.8923280741900517	1	0.8923280741900517	1	flowing-??-inside-on.the.beach
c̓ap	1	0	1	0	0.9751374611522831	1	0.9751374611522831	1	0.9825364326147176	1	0.9825364326147176	1	holding.in.the.lap
c̓awa	2	0	2	0	0.7881902940473345	1	0.7881902940473345	1	0.7941707816451886	1	0.7941707816451886	1	one
c̓awa·	8	1	7	0	0.522979918718623	0.9924695194836242	0.5233086301697347	1	0.5269480910514273	1	0.5272792966397689	1	one
c̓awa·-panač	1	0	1	0	0.977049964140569	1	0.977049964140569	1	0.9844634469468867	1	0.9844634469468867	1	one-move.about.randomly
