item	gloss	frequency	rel_freq	flexibility	flexibility_broad	ger	inf	mod	pred	precxn	ref	mod_rel	pred_rel	ref_rel	pred_rel_broad	ref_rel_broad	dispersion	dispersion_ref	dispersion_pred	dispersion_mod	dispersion_ref_broad	dispersion_pred_broad	dispersion_norm	dispersion_ref_norm	dispersion_pred_norm	dispersion_mod_norm
central		53	0.01628271712465649	0.09068111698162357	0.09068111698162357	0	0	48	0	1	1	0.014746611735537951	0	0.0003072210778237073	0.0003072210778237073	0	0.9767310755656312	0.9993296436081861	1	0.9782515126797808	1	0.9996958511329544	0.9767685860528552	0.9993680219732928	1	0.9782890815580383
certain		733	0.22519305004477747	0.01765936906426874	0.10141284063310912	0	0	706	0	17	2	0.21689808094353738	0	0.0006144421556474146	0.005222758323003025	0	0.7673788761673159	0.9993302580503437	1	0.7752721070358581	1	0.9928205506323373	0.7674083466697403	0.9993686364390475	1	0.7753018806707854
child		2551	0.7837209695282774	0.3259338701855562	0.06680821781755471	0	0	283	0	4	2165	0.08694356502410917	0	0.6651336334883263	0.0012288843112948293	0	0.6767530835420392	0.6822026024314367	1	0.9535269747786858	1	0.9977966104298474	0.6767790736415958	0.6822288018149137	1	0.9535635941330811
come		5446	1.67312598982791	0.25490180948840124	0.6002633629537614	0	446	263	4528	0	64	0.08079914346763503	1.3910970403857468	0.01966214898071727	0	0.13702060070937347	0.3297704832166316	0.9686358001649761	0.35081738311789035	0.8807936134882327	0.8146283316205767	1	0.3297831477583944	0.9686729997603567	0.3508308559471026	0.8808274395826534
consider		474	0.14562279088843727	0.05822046117973634	0.7396687150591051	10	32	4	336	60	0	0.0012288843112948293	0.10322628214876567	0	0.01843326466942244	0.012903285268595709	0.8338075290669538	1	0.8738577904352857	0.9981966122731716	0.9807271001248852	0.9755630210277458	0.8338395507026412	1	0.873891350165598	0.9982349471252188
day		3082	0.9468553618526659	0.3293655911822951	0	0	0	343	0	0	2577	0.10537682969353161	0	0.7917087175516938	0	0	0.4784910454381104	0.4910007916700917	1	0.9445339993886306	1	1	0.47850942146063663	0.49101964811828264	1	0.9445702733758139
decide		789	0.2423974304029051	0.09724864475712489	0.36549621544901334	13	94	10	652	3	3	0.0030722107782370734	0.20030814274105718	0.000921663233471122	0.000921663233471122	0.032872655327136686	0.7518777255904943	0.9985880119263222	0.7800432490943494	0.996445452129579	0.9595979704975589	0.9985671208930286	0.7519066007850338	0.9986263618097245	0.780073205960739	0.9964837197298801
different		2130	0.6543808957644967	0.011740786775684872	0.4177364149948525	0	0	1705	0	354	3	0.523811937689421	0	0.000921663233471122	0.10875626154959239	0	0.5243736157067158	0.9986089029596128	1	0.5795752724457466	1	0.8562543298970653	0.524393753808497	0.9986472536453166	1	0.5795975305180003
difficult		380	0.11674400957300879	0	0.3757871806728308	0	0	54	0	320	0	0.016589938202480194	0	0	0.09831074490358635	0	0.867740711554738	1	1	0.977600203994795	1	0.8859294282462133	0.8677740363640829	1	1	0.9776377478601224
door		430	0.13210506346419415	0.09268530718604262	0	0	0	9	0	0	420	0.002764989700413366	0	0.12903285268595707	0	0	0.8658494585996551	0.8680331860208264	1	0.9964651142785597	1	1	0.8658827107771143	0.8680665220623927	1	0.9965033826339682
down		3369	1.03502781118807	0.2772917256537885	0.1425842807731924	0	0	10	0	264	1	0.0030722107782370734	0	0.0003072210778237073	0.08110636454545873	0	0.45655475107541343	0.9992559105495084	1	0.9951852312683455	1	0.891468317058296	0.45657228465408795	0.9992942860829626	1	0.9952234504709866
end		1368	0.42027843446283164	0.7209470543201175	0.6291507833406458	13	17	34	693	0	604	0.01044551664600605	0.21290420693182918	0.18556153100551923	0	0.00921663233471122	0.6135690333442411	0.7807258122378502	0.7664339945788252	0.9870085422820677	0.983664440849956	1	0.6135925969166123	0.7807557953174695	0.7664634287939136	0.9870464474662493
enjoy		1565	0.480800986794102	0.005086256726158782	0.13770921293612223	19	48	1	1485	1	0	0.0003072210778237073	0.45622330056820537	0	0.0003072210778237073	0.020583812214188393	0.6771130951605346	1	0.6858189403749517	0.999330872492497	0.9696597680173631	0.9997680480862421	0.6771390990860169	1	0.6858452786406672	0.9993692509047979
everybody		1228	0.3772674835675126	0.30204090706760833	0	0	0	0	120	4	1044	0	0.03686652933884488	0.32073880524795045	0.0012288843112948293	0	0.6352374117676955	0.6713840436681915	0.9385920365224408	1	1	0.9978227242214626	0.6352618074948454	0.6714098275745526	0.9386280823138313	1
everything		1971	0.6055327443905272	0	0	0	0	0	0	7	1960	0	0	0.6021533125344664	0.002150547544765951	0	0.5177070213967475	0.5197097886246874	1	1	1	0.9966933795393823	0.5177269034739105	0.5197297476163424	1	1
fan		217	0.0666669738877445	0.06712361044571101	0	0	0	3	0	0	211	0.000921663233471122	0	0.06482364742080225	0	0	0.9417247698530101	0.9420332198151448	1	0.9984012215110046	1	1	0.9417609359542347	0.9420693977621154	1	0.9984395642208874
father		447	0.13732782178719719	0.03987307771910096	0	0	0	3	0	0	401	0.000921663233471122	0	0.12319565220730663	0	0	0.8673867928730841	0.8754928210114625	1	0.9989689660628233	1	1	0.8674201040904972	0.8755264435336683	1	0.99900733057643
feel		2707	0.8316474576687758	0.13487706628261156	0.20506870741832325	146	53	5	2382	5	73	0.0015361053891185367	0.7318006073760709	0.022427138681130634	0.0015361053891185367	0.061136994486917756	0.5292679132412144	0.9705417997317958	0.5493740078408477	0.9974024457869993	0.921642956879985	0.9978291758640976	0.5292882393041342	0.9705790725253925	0.5493951060604271	0.9974407501397897
figure		577	0.17726656190427914	0.37819540473839136	0.2755735825102342	9	110	5	384	4	50	0.0015361053891185367	0.11797289388430361	0.015361053891185366	0.0012288843112948293	0.036559308261021176	0.78796270279676	0.9767857609174846	0.8400980270454396	0.9977096668648233	0.9482713438003546	0.9979130472183402	0.7879929638027171	0.9768232735048508	0.8401302902621004	0.9977479830161656
first		2130	0.6543808957644967	0.32706829868781795	0.032959086730055466	0	0	1346	0	8	177	0.41351957075071005	0	0.054378130774796196	0.0024577686225896586	0	0.49764233568762084	0.9256807635058214	1	0.6090164750635391	1	0.9960835456999027	0.4976614471983958	0.9257163134512686	1	0.6090398637989634
five		2220	0.6820307927686303	0.3024422494298599	0.12055815967706325	0	0	1224	0	37	141	0.3760385992562178	0	0.043318171973142736	0.011367179879477171	0	0.512286406102505	0.9382199917971961	1	0.6312063130497837	1	0.9800168049929553	0.5123060800057644	0.9382560233005403	1	0.6312305539661768
four		1756	0.53948021265843	0.30129550579631464	0.15296016487791794	0	0	1223	0	51	140	0.3757313781783941	0	0.043010950895319026	0.015668274969009074	0	0.5779258688345912	0.9394688454785494	1	0.6598242111890628	1	0.9803722597799972	0.5779480635629679	0.9395049249430071	1	0.659849551150351
