item	gloss	aspect	frequency	rel_freq	flexibility	flexibility_broad	definite	ger	inf	mod	pred	precxn	ref	mod_rel	pred_rel	ref_rel	pred_rel_broad	ref_rel_broad	dispersion	dispersion_ref	dispersion_pred	dispersion_mod	dispersion_ref_broad	dispersion_pred_broad	dispersion_norm	dispersion_ref_norm	dispersion_pred_norm	dispersion_mod_norm
area		NULL	1544	0.4743493441598041	0.026545672913683968	0	0	0	0	7	0	0	1526	0.002150547544765951	0	0.4688193647589774	0	0	0.6522637085686215	0.6555956018029179	1	0.9968476045204488	1	1	0.6522887581755389	0.655620779368228	1	0.9968858875650545
argument		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9985738797567393	0.9985738797567393	1	1	1	1	0.9986122290974082	0.9986122290974082	1	1
army		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9985738797567393	0.9985738797567393	1	1	1	1	0.9986122290974082	0.9986122290974082	1	1
arrive		NULL	8	0.0024577686225896586	0	NaN	0	0	0	0	8	0	0	0	0.0024577686225896586	0	0	0	0.9985738797567393	1	0.9985738797567393	1	1	1	0.9986122290974082	1	0.9986122290974082	1
artistic		NULL	1	0.0003072210778237073	0	0	0	0	0	0	0	1	0	0	0	0	0.0003072210778237073	0	0.9991259560335884	1	1	1	1	0.9991259560335884	0.9991643265762552	1	1	1
ask		NULL	5	0.0015361053891185367	0	0	0	0	1	0	4	0	0	0	0.0012288843112948293	0	0	0.0003072210778237073	0.9972807862401792	1	0.9976998357903308	1	0.9995809504498455	1	0.9973190859207431	1	0.9977381515641195	1
aspect		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9996509968555892	0.9996509968555892	1	1	1	1	0.9996893875619812	0.9996893875619812	1	1
aspire		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	1	0	0	0	0.0003072210778237073	0	0	0	0.9991259560335884	1	0.9991259560335884	1	1	1	0.9991643265762552	1	0.9991643265762552	1
associate		NULL	1	0.0003072210778237073	0	0	0	0	0	0	0	1	0	0	0	0	0.0003072210778237073	0	0.9991259560335884	1	1	1	1	0.9991259560335884	0.9991643265762552	1	1	1
ateltisate		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9985738797567393	0.9985738797567393	1	1	1	1	0.9986122290974082	0.9986122290974082	1	1
atlas		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9991259560335884	0.9991259560335884	1	1	1	1	0.9991643265762552	0.9991643265762552	1	1
attend		NULL	2	0.0006144421556474146	0	NaN	0	0	0	0	2	0	0	0	0.0006144421556474146	0	0	0	0.9985738797567393	1	0.9985738797567393	1	1	1	0.9986122290974082	1	0.9986122290974082	1
attention		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9985738797567393	0.9985738797567393	1	1	1	1	0.9986122290974082	0.9986122290974082	1	1
author		NULL	3	0.000921663233471122	0	NaN	0	0	0	0	0	0	3	0	0	0.000921663233471122	0	0	0.9991259560335884	0.9991259560335884	1	1	1	1	0.9991643265762552	0.9991643265762552	1	1
away		NULL	1208	0.37112306201103845	0	0	0	0	0	0	0	100	5	0	0	0.0015361053891185367	0.030722107782370733	0	0.6355027012209808	0.9965093541137651	1	1	1	0.958601038100022	0.635527107136336	0.996547624168165	1	1
b		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9996509968555892	0.9996509968555892	1	1	1	1	0.9996893875619812	0.9996893875619812	1	1
baby		NULL	1	0.0003072210778237073	0	0	0	0	0	1	0	0	0	0.0003072210778237073	0	0	0	0	0.9985738797567393	1	1	0.9985738797567393	1	1	0.9986122290974082	1	1	0.9986122290974082
back		NULL	3757	1.1542295893836685	0.8437910172830438	0.7085893717484133	0	5	8	143	54	247	272	0.04393261412879015	0.016589938202480194	0.0835641331680484	0.07588360622245571	0.003993874011708195	0.4108451344016543	0.8860809322876596	0.973802951472893	0.9409898970348536	0.9917379035540852	0.9021420989651253	0.4108609125432027	0.8861149614368506	0.9738403495081185	0.9410260349139419
bad		NULL	6	0.001843326466942244	0	0	0	0	0	0	0	4	2	0	0	0.0006144421556474146	0.0012288843112948293	0	0.9973508326459231	0.9991259560335884	1	1	1	0.9973508326459231	0.9973891350165568	0.9991643265762552	1	1
badge		NULL	2	0.0006144421556474146	0	NaN	0	0	0	0	0	0	2	0	0	0.0006144421556474146	0	0	0.9991259560335884	0.9991259560335884	1	1	1	1	0.9991643265762552	0.9991643265762552	1	1
balance		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	1	0	0	0	0.0003072210778237073	0	0	0	0.9996509968555892	1	0.9996509968555892	1	1	1	0.9996893875619812	1	0.9996893875619812	1
base		NULL	2	0.0006144421556474146	0	NaN	0	0	0	0	0	0	2	0	0	0.0006144421556474146	0	0	0.9976998357903308	0.9976998357903308	1	1	1	1	0.9977381515641195	0.9977381515641195	1	1
basis		NULL	2	0.0006144421556474146	0	NaN	0	0	0	0	0	0	2	0	0	0.0006144421556474146	0	0	0.998706906483437	0.998706906483437	1	1	1	1	0.9987452609328789	0.9987452609328789	1	1
battalion		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9985738797567393	0.9985738797567393	1	1	1	1	0.9986122290974082	0.9986122290974082	1	1
bazooka		NULL	2	0.0006144421556474146	0	NaN	0	0	0	0	0	0	2	0	0	0.0006144421556474146	0	0	0.9985738797567393	0.9985738797567393	1	1	1	1	0.9986122290974082	0.9986122290974082	1	1
beast		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9985738797567393	0.9985738797567393	1	1	1	1	0.9986122290974082	0.9986122290974082	1	1
bed		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9985738797567393	0.9985738797567393	1	1	1	1	0.9986122290974082	0.9986122290974082	1	1
bedroom		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9985738797567393	0.9985738797567393	1	1	1	1	0.9986122290974082	0.9986122290974082	1	1
begin		NULL	2	0.0006144421556474146	0	NaN	0	0	0	0	0	0	2	0	0	0.0006144421556474146	0	0	0.9995809504498455	0.9995809504498455	1	1	1	1	0.9996193384661677	0.9996193384661677	1	1
believe		NULL	1014	0.31152217291323925	0.013663150787040923	0.1347538602592167	0	3	54	2	953	0	0	0.0006144421556474146	0.29278168716599307	0	0	0.01751160143595132	0.7094929367919985	1	0.7232468001647332	0.9985569825974592	0.9698834249620184	1	0.7095201842364659	1	0.7232745758140762	0.9985953312892077
best		NULL	777	0.23871077746902059	0.5366740740872836	0.15830741278720273	0	0	0	526	0	23	201	0.16159828693527006	0	0.061751436642565175	0.007066084789945268	0	0.7423830924307875	0.915192543129999	1	0.8073169711008514	1	0.9900190016236616	0.7424116029923951	0.9152276902846819	1	0.8073479753902487
better		NULL	1	0.0003072210778237073	0	0	0	0	0	0	0	1	0	0	0	0	0.0003072210778237073	0	0.9991259560335884	1	1	1	1	0.9991259560335884	0.9991643265762552	1	1	1
big		NULL	2701	0.8298041312018335	0.045640106743715186	0.28083398304067453	0	0	0	2381	0	243	21	0.7314933862982471	0	0.006451642634297854	0.07465472191116088	0	0.47364295986916355	0.991332371731359	1	0.4891161328751086	1	0.9024419467370819	0.4736611497052805	0.9913704429683604	1	0.4891349169446567
bill		NULL	328	0.10076851352617601	0.12657859363955407	0	0	4	0	0	10	0	310	0	0.0030722107782370734	0.09523853412534927	0	0.0012288843112948293	0.9203295867722888	0.9231385090868315	0.9971809393898884	1	0.9990734212292827	1	0.9203649312105585	0.9231739613992614	0.9972192352359228	1
biographical		NULL	1	0.0003072210778237073	0	0	0	0	0	1	0	0	0	0.0003072210778237073	0	0	0	0	0.9991259560335884	1	1	0.9991259560335884	1	1	0.9991643265762552	1	1	0.9991643265762552
