č̓apac-iːɬ	0	7	0	7	0
huːʔak	0	6	0	6	0
ʔaḥʔaː	2	13	0	15	0.35742770336531254
ʔaḥʔaː	2	14	0	16	0.34295098019812786
ḥuː	2	2	0	4	0.6309297535714575
qʷaːƛaː	0	4	0	4	0
qʷaː	4	15	0	19	0.46845749928108243
ʔaḥʔaː	3	14	0	17	0.42417080326490036
ƛiča·	6	0	0	6	0
ƛiča·	7	0	0	7	0
ʔu-ḥʷʼaɬ	0	8	0	8	0
č̓aḥʷ	0	6	0	6	0
č̓aḥʷ	0	7	0	7	0
wik	0	12	0	12	0
wik	0	13	0	13	0
waː	0	8	0	8	0
wik	0	14	0	14	0
wik	0	15	0	15	0
hawiɬ-čaq	0	9	0	9	0
qʷaː	5	15	0	20	0.5118595071429148
kʷama	4	0	0	4	0
čačim	0	9	0	9	0
qʷaː	5	16	0	21	0.49960699524890273
wik	0	16	0	16	0
ʔu-n̓a·ḥ	0	6	0	6	0
suč̓as	5	0	0	5	0
č̓apac	13	1	0	14	0.2342215203652865
huːʔak	0	7	0	7	0
č̓apac	14	1	0	15	0.22294491816723944
ʔaḥʔaː	4	14	0	18	0.48215936096968104
qʷaː	5	17	0	22	0.4878517150631748
č̓apac-iːɬ	0	8	0	8	0
wik	0	17	0	17	0
hawiɬ-čaq	0	10	0	10	0
huːʔak	0	8	0	8	0
qiː	0	4	0	4	0
ʔu-na·k	0	6	0	6	0
wa·	0	19	0	19	0
hiɬ-yin	8	1	0	9	0.3175206571427802
ʔu-na·k	0	7	0	7	0
qʷaːƛaː	0	5	0	5	0
ƛiča·	8	0	0	8	0
qʷaː	5	18	0	23	0.47658882290132026
y̓uːqʷaː	0	11	0	11	0
hawiɬ-čaq	0	11	0	11	0
č̓aḥʷ	0	8	0	8	0
wa·	0	20	0	20	0
ʔaḥʔaː	5	14	0	19	0.5246019307279569
qʷaː	5	19	0	24	0.46580588866142375
č̓apac-iːɬ	0	9	0	9	0
čuː	0	9	0	9	0
