item	frequency	REF	PRED	MOD	dispersion	dispersionREF	dispersionPRED	dispersionMOD	dispersionNorm	dispersionREFNorm	dispersionPREDNorm	dispersionMODNorm
enjoy	1565	67	1486	1	0.677113095160535	0.9696597680173632	0.6858357074172897	0.9993308724924972	0.6771390990860172	0.9696970069373174	0.6858620463269286	0.9993692509047981
everybody	1228	1044	124	0	0.635237411767695	0.671384043668191	0.9369115372267446	1	0.6352618074948448	0.6714098275745521	0.9369475184800561	1
everything	1971	1960	7	0	0.5177070213967481	0.5197097886246879	0.9966933795393819	1	0.517726903473911	0.5197297476163428	0.9967316566611144	1
fan	217	211	0	3	0.9417247698530101	0.9420332198151449	1	0.9984012215110042	0.9417609359542347	0.9420693977621155	1	0.998439564220887
father	447	401	0	3	0.8673867928730841	0.8754928210114626	1	0.9989689660628227	0.8674201040904972	0.8755264435336684	1	0.9990073305764294
feel	2707	272	2387	5	0.529267913241214	0.8999574498807213	0.5484582854451515	0.9974024457869993	0.5292882393041338	0.8999920119452142	0.5484793484972277	0.9974407501397897
figure	577	169	388	5	0.7879627027967597	0.929236233039476	0.8394360844679972	0.9977096668648224	0.7879929638027169	0.9292719195295647	0.8394683222633428	0.9977479830161647
first	2130	177	8	1346	0.49764233568762084	0.9256807635058217	0.9960835456999027	0.6090164750635381	0.4976614471983958	0.9257163134512689	0.9961217994015097	0.6090398637989624
five	2220	141	37	1224	0.512286406102506	0.9382199917971964	0.9800168049929555	0.6312063130497836	0.5123060800057654	0.9382560233005406	0.9800544416656923	0.6312305539661767
four	1756	140	51	1223	0.5779258688345905	0.9394688454785495	0.9803722597799972	0.6598242111890628	0.5779480635629672	0.9395049249430072	0.9804099101036586	0.659849551150351
friend	1270	1237	6	1	0.6529831003369875	0.6582872631795039	0.9958205644572836	0.9996420874443348	0.6530081775715051	0.6583125441156724	0.9958588080593301	0.9996804778085688
fun	912	266	478	149	0.7616774539667607	0.8962161115949843	0.8464920729281388	0.9432086476588978	0.7617067055111423	0.8962505299767117	0.8465245817024382	0.9432448707471282
good	6868	196	2149	3888	0.3545522727891919	0.9247391309022915	0.5355426202901306	0.4096030972492965	0.3545658890535162	0.9247746446851771	0.5355631873275872	0.40961882769151403
grow	1227	132	976	96	0.7011130938889059	0.940645809427691	0.7369200922005711	0.9503260383688391	0.7011400195129683	0.9406819340924012	0.7369483929605193	0.9503625347941219
hard	1583	0	1019	380	0.5871336629664125	1	0.6853352460996017	0.8680424026531611	0.5871562113119237	1	0.6853615657894694	0.8680757390486841
hate	455	5	442	2	0.8404850939793486	0.9957775535063894	0.8451982301257824	0.9987748023416374	0.8405173720609703	0.9958157954566387	0.8452306892112011	0.9988131593985593
here	4859	451	239	0	0.4246557588218163	0.8414137085117136	0.8969860076160098	1	0.4246720673480978	0.8414460222559496	0.8970204555649084	1
house	2159	2040	7	98	0.6678890836825625	0.6784976713094091	0.9957864629176459	0.9635964528254342	0.6679147333680975	0.6785237284083054	0.9958247052100532	0.9636334588891675
husband	1381	1281	2	2	0.6682180465716607	0.679112347938562	0.9983105912930453	0.9986325589826054	0.6682437088907225	0.679138428643567	0.9983489305223553	0.9986709105767977
idea	826	823	0	1	0.7360336102239536	0.7366463755730528	1	0.9997198143770244	0.736061876939351	0.7366746658211577	1	0.999758207726292
important	590	2	420	151	0.8392358885873689	0.9991864785859215	0.8760402999443276	0.9418593326850966	0.8392681186943699	0.999224851452903	0.8760739434919743	0.9418955039540868
job	1283	1185	0	94	0.6926062237020734	0.7008438021346133	1	0.9711746751521135	0.6926328226273614	0.7008707174167658	1	0.9712119722507273
know	44687	394	11551	51	0.21370561862284992	0.8500890173072987	0.2641825974888565	0.9770822292575835	0.2137138257968383	0.850121664219044	0.26419274318627084	0.9771197532305523
large	509	2	53	428	0.8451359990906256	0.9993317941557329	0.9765885249855215	0.8677023089200108	0.8451684557861168	0.9993701726034294	0.9766260299982173	0.8677356322545366
like	3768	9	3108	0	0.44660168627779206	0.9949197922571047	0.504245334760453	1	0.44661883761787574	0.994958001265797	0.5042646998535276	1
little	5654	1345	135	4060	0.3622140616501159	0.610420395326943	0.9476000657453097	0.4094861079736347	0.36222797215861896	0.6104438379786749	0.9476364574820414	0.4095018339229833
live	3399	550	2637	148	0.4801350109464324	0.8126046663809514	0.5277030027363492	0.9375170699711363	0.48015345010399013	0.8126358737395775	0.5277232687002745	0.9375530744793936
look	3614	589	2743	103	0.4318363218688729	0.792018832453863	0.4662804566192945	0.9448513587620208	0.4318529061582843	0.7920492492318678	0.46629836370503014	0.9448876449371083
make	5711	1218	4165	91	0.3516729927271036	0.6347470065827264	0.3857244581250388	0.960431461281694	0.351686498415241	0.6347713834763018	0.3857392715293836	0.9604683457967454
