item	gloss	aspect	frequency	rel_freq	flexibility	flexibility_broad	definite	ger	inf	mod	pred	precxn	ref	mod_rel	pred_rel	ref_rel	pred_rel_broad	ref_rel_broad	dispersion	dispersion_ref	dispersion_pred	dispersion_mod	dispersion_ref_broad	dispersion_pred_broad	dispersion_norm	dispersion_ref_norm	dispersion_pred_norm	dispersion_mod_norm
afternoon		NULL	4	0.4005206768799439	0	NaN	0	0	0	0	0	0	4	0	0	0.4005206768799439	0	0	0.3986182036647642	0.3986182036647642	1	1	1	1	0.44977968591119644	0.44977968591119644	1	1
age		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.886252127766096	0.886252127766096	1	1	1	1	1	1	1	1
ahead		NULL	2	0.20026033843997196	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0.71512966856914	1	1	1	1	1	0.8069144729409107	1	1	1
allowed		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	1	0	0	0	0.10013016921998598	0	0	0	0.71512966856914	1	0.71512966856914	1	1	1	0.8069144729409107	1	0.8069144729409107	1
alps		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.71512966856914	0.71512966856914	1	1	1	1	0.8069144729409107	0.8069144729409107	1	1
american		NULL	3	0.30039050765995795	0	0	0	0	0	3	0	0	0	0.30039050765995795	0	0	0	0	0.71512966856914	1	1	0.71512966856914	1	1	0.8069144729409107	1	1	0.8069144729409107
amusement		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.71512966856914	0.71512966856914	1	1	1	1	0.8069144729409107	0.8069144729409107	1	1
analytical		NULL	1	0.10013016921998598	0	0	0	0	0	0	0	1	0	0	0	0	0.10013016921998598	0	0.71512966856914	1	1	1	1	0.71512966856914	0.8069144729409107	1	1	1
animal		NULL	5	0.5006508460999299	0.4554859150035953	0	0	0	0	1	0	0	4	0.10013016921998598	0	0.4005206768799439	0	0	0.33519575448082506	0.535195754480825	1	0.71512966856914	1	1	0.37821715060445144	0.6038865664896621	1	0.8069144729409107
answer		NULL	3	0.30039050765995795	0	NaN	0	0	0	0	3	0	0	0	0.30039050765995795	0	0	0	0.421447882246921	1	0.421447882246921	1	1	1	0.4755394870636086	1	0.4755394870636086	1
anybody		NULL	6	0.6007810153199159	0	NaN	0	0	0	0	0	0	6	0	0	0.6007810153199159	0	0	0.28487033143086005	0.28487033143086005	1	1	1	1	0.3214326064851428	0.3214326064851428	1	1
anyone		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.535195754480825	0.535195754480825	1	1	1	1	0.6038865664896621	0.6038865664896621	1	1
anything		NULL	14	1.4018223690798037	0	NaN	0	0	0	0	0	0	14	0	0	1.4018223690798037	0	0	0.32110314837860643	0.32110314837860643	1	1	1	1	0.36231579966751126	0.36231579966751126	1	1
anywhere		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.535195754480825	0.535195754480825	1	1	1	1	0.6038865664896621	0.6038865664896621	1	1
appear		NULL	1	0.10013016921998598	0	0	0	0	0	0	0	1	0	0	0	0	0.10013016921998598	0	0.71512966856914	1	1	1	1	0.71512966856914	0.8069144729409107	1	1	1
appoint		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	1	0	0	0	0.10013016921998598	0	0	0	0.535195754480825	1	0.535195754480825	1	1	1	0.6038865664896621	1	0.6038865664896621	1
appropriate		NULL	1	0.10013016921998598	0	0	0	0	0	0	0	1	0	0	0	0	0.10013016921998598	0	0.71512966856914	1	1	1	1	0.71512966856914	0.8069144729409107	1	1	1
archie		NULL	2	0.20026033843997196	0.6309297535714575	0	0	0	0	1	0	0	1	0.10013016921998598	0	0.10013016921998598	0	0	0.71512966856914	0.71512966856914	1	0.71512966856914	1	1	0.8069144729409107	0.8069144729409107	1	0.8069144729409107
